"","DX","distinct_specialty_count","code_volume_percent","concept_name"
"140","C84Z1",1,5.90571104531521e-08,"Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck"
"141","C84Z8",1,8.41316377963898e-08,"Other mature T/NK-cell lymphomas, lymph nodes of multiple sites"
"142","C8525",1,4.91592707124003e-08,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb"
"143","C883",1,1.5176687602486e-08,"Immunoproliferative small intestinal disease"
"144","C93Z0",1,1.41869036284108e-08,"Other monocytic leukemia, not having achieved remission"
"145","C9402",1,2.01256074728619e-08,"Acute erythroid leukemia, in relapse"
"146","C9421",1,2.11153914469371e-08,"Acute megakaryoblastic leukemia, in remission"
"147","C9441",1,4.28906388765909e-08,"Acute panmyelosis with myelofibrosis, in remission"
"148","C9442",1,1.08876237148269e-07,"Acute panmyelosis with myelofibrosis, in relapse"
"149","C9482",1,2.63942393086713e-08,"Other specified leukemias, in relapse"
"150","C9621",1,2.40847433691626e-08,"Aggressive systemic mastocytosis"
"151","D0760",1,8.24819978395979e-09,"Carcinoma in situ of unspecified male genital organs"
"152","D0920",1,3.59621510580647e-08,"Carcinoma in situ of unspecified eye"
"153","D37031",1,2.73840232827465e-08,"Neoplasm of uncertain behavior of the sublingual salivary glands"
"154","D3A011",1,1.25372636716189e-08,"Benign carcinoid tumor of the jejunum"
"155","D3A023",1,1.55066155938444e-08,"Benign carcinoid tumor of the transverse colon"
"156","D3A024",1,9.23798375803496e-09,"Benign carcinoid tumor of the descending colon"
"157","D3A096",1,6.26863183580944e-09,"Benign carcinoid tumor of the hindgut, unspecified"
"158","D762",1,1.81460395247115e-08,"Hemophagocytic syndrome, infection-associated"
"159","D7833",1,1.02277677321101e-08,"Postprocedural seroma of the spleen following a procedure on the spleen"
"160","D812",1,1.50777092050785e-07,"Severe combined immunodeficiency [SCID] with low or normal B-cell numbers"
"161","D813",1,2.01256074728619e-08,"Adenosine deaminase [ADA] deficiency"
"162","E083531",1,1.6826327559278e-08,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
"163","E083533",1,2.11153914469371e-08,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"
"164","E083541",1,1.5176687602486e-08,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
"165","E083542",1,1.5176687602486e-08,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
"166","E083549",1,8.90805576667657e-09,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"
"167","E0837X1",1,2.2765031403729e-08,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye"
"168","E0837X2",1,1.02277677321101e-08,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye"
"169","E0911",1,1.12175517061853e-08,"Drug or chemical induced diabetes mellitus with ketoacidosis with coma"
"170","E093211",1,1.58365435852028e-08,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"
"171","E093212",1,9.23798375803496e-09,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye"
"172","E093213",1,1.97956794815035e-08,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
"173","E093291",1,5.60877585309265e-09,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye"
"174","E093311",1,7.91827179260139e-09,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
"175","E093313",1,2.2765031403729e-08,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
"176","E093393",1,1.58365435852028e-08,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
"177","E093493",1,6.59855982716783e-09,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral"
"178","E093513",1,1.28671916629773e-08,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"
"179","E093553",1,9.89783974075174e-09,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral"
"180","E093593",1,1.15474796975437e-08,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"
"181","E093599",1,1.18774076889021e-08,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye"
"182","E09628",1,6.92848781852622e-09,"Drug or chemical induced diabetes mellitus with other skin complications"
"183","E103541",1,8.44615657877482e-08,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
"184","E103542",1,6.20264623753776e-08,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
"185","E1037X2",1,4.84994147296835e-08,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye"
"186","E11329",1,1.25372636716189e-08,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema"
"187","E113549",1,7.25841580988461e-09,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"
"188","E133411",1,1.71562555506364e-08,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye"
"189","E133491",1,2.11153914469371e-08,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye"
"190","E133492",1,9.89783974075174e-09,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye"
"191","E133522",1,7.91827179260139e-09,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
"192","E133523",1,1.22073356802605e-08,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
"193","E133531",1,7.25841580988461e-09,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
"194","E133541",1,4.94891987037587e-09,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
"195","E133551",1,1.91358234987867e-08,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye"
"196","E133552",1,1.6826327559278e-08,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye"
"197","E344",1,1.28671916629773e-08,"Constitutional tall stature"
"198","E3611",1,5.60877585309265e-09,"Accidental puncture and laceration of an endocrine system organ or structure during an endocrine system procedure"
"199","E503",1,1.55066155938444e-08,"Vitamin A deficiency with corneal ulceration and xerosis"
"200","E615",1,6.59855982716783e-09,"Molybdenum deficiency"
"201","E70320",1,1.12175517061853e-08,"Tyrosinase negative oculocutaneous albinism"
"202","E70330",1,2.01256074728619e-08,"Chediak-Higashi syndrome"
"203","E7039",1,7.25841580988461e-09,"Other specified albinism"
"204","E71111",1,4.94891987037587e-09,"3-methylglutaconic aciduria"
"205","E71310",1,1.25372636716189e-08,"Long chain/very long chain acyl CoA dehydrogenase deficiency"
"206","E71311",1,1.48467596111276e-08,"Medium chain acyl CoA dehydrogenase deficiency"
"207","E71510",1,8.24819978395979e-09,"Zellweger syndrome"
"208","E71528",1,9.89783974075174e-09,"Other X-linked adrenoleukodystrophy"
"209","E7221",1,9.56791174939335e-09,"Argininemia"
"210","E7429",1,9.89783974075174e-09,"Other disorders of galactose metabolism"
"211","E7523",1,2.67241673000297e-08,"Krabbe disease"
"212","E75242",1,3.86015749889318e-08,"Niemann-Pick disease type C"
"213","E753",1,1.31971196543357e-08,"Sphingolipidosis, unspecified"
"214","E76210",1,1.48467596111276e-08,"Morquio A mucopolysaccharidoses"
"215","E805",1,3.0353375204972e-08,"Crigler-Najjar syndrome"
"216","E89811",1,6.59855982716783e-09,"Postprocedural hemorrhage of an endocrine system organ or structure following other procedure"
"217","F11922",1,7.91827179260139e-09,"Opioid use, unspecified with intoxication with perceptual disturbance"
"218","F12221",1,1.12175517061853e-08,"Cannabis dependence with intoxication delirium"
"219","F12222",1,1.84759675160699e-08,"Cannabis dependence with intoxication with perceptual disturbance"
"220","F12250",1,4.65198467815332e-08,"Cannabis dependence with psychotic disorder with delusions"
"221","F12251",1,2.2765031403729e-08,"Cannabis dependence with psychotic disorder with hallucinations"
"222","F12922",1,1.45168316197692e-08,"Cannabis use, unspecified with intoxication with perceptual disturbance"
"223","F12950",1,3.43125111012727e-08,"Cannabis use, unspecified with psychotic disorder with delusions"
"224","F12951",1,1.94657514901451e-08,"Cannabis use, unspecified with psychotic disorder with hallucinations"
"225","F13188",1,1.41869036284108e-08,"Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder"
"226","F13251",1,1.31971196543357e-08,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
"227","F1327",1,1.28671916629773e-08,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
"228","F13950",1,6.92848781852622e-09,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
"229","F13959",1,3.06833031963304e-08,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
"230","F1396",1,2.2765031403729e-08,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
"231","F14250",1,3.62920790494231e-08,"Cocaine dependence with cocaine-induced psychotic disorder with delusions"
"232","F14922",1,1.81460395247115e-08,"Cocaine use, unspecified with intoxication with perceptual disturbance"
"233","F15922",1,3.59621510580647e-08,"Other stimulant use, unspecified with intoxication with perceptual disturbance"
"234","F1611",1,7.25841580988461e-09,"Hallucinogen abuse, in remission"
"235","F16120",1,8.57812777531818e-09,"Hallucinogen abuse with intoxication, uncomplicated"
"236","F16121",1,1.61664715765612e-08,"Hallucinogen abuse with intoxication with delirium"
"237","F16129",1,5.50979745568514e-08,"Hallucinogen abuse with intoxication, unspecified"
"238","F16151",1,1.15474796975437e-08,"Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations"
"239","F16159",1,8.24819978395979e-09,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified"
"240","F16229",1,1.45168316197692e-08,"Hallucinogen dependence with intoxication, unspecified"
"241","F16259",1,1.3527047645694e-08,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified"
"242","F16920",1,2.04555354642203e-08,"Hallucinogen use, unspecified with intoxication, uncomplicated"
"243","F1694",1,1.05576957234685e-08,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
"244","F16951",1,1.22073356802605e-08,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations"
"245","F16959",1,2.37548153778042e-08,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified"
"246","F1827",1,7.91827179260139e-09,"Inhalant dependence with inhalant-induced dementia"
"247","F18988",1,1.02277677321101e-08,"Inhalant use, unspecified with other inhalant-induced disorder"
"248","F19181",1,5.27884786173426e-09,"Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction"
"249","F19250",1,1.64963995679196e-08,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions"
"250","F19251",1,3.26628711444808e-08,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations"
"251","F19922",1,7.588343801243e-09,"Other psychoactive substance use, unspecified with intoxication with perceptual disturbance"
"252","F19981",1,3.13431591790472e-08,"Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction"
"253","F642",1,1.88058955074283e-08,"Gender identity disorder of childhood"
"254","F653",1,1.81460395247115e-08,"Voyeurism"
"255","F6551",1,2.01256074728619e-08,"Sexual masochism"
"256","F6552",1,2.60643113173129e-08,"Sexual sadism"
"257","G375",1,1.6826327559278e-08,"Concentric sclerosis [Balo] of central nervous system"
"258","G40B01",1,1.78161115333531e-08,"Juvenile myoclonic epilepsy, not intractable, with status epilepticus"
"259","G40B11",1,2.54044553345961e-08,"Juvenile myoclonic epilepsy, intractable, with status epilepticus"
"260","G7113",1,7.25841580988461e-09,"Myotonic chondrodystrophy"
"261","G7114",1,3.0353375204972e-08,"Drug induced myotonia"
"262","G9749",1,5.93870384445105e-09,"Accidental puncture and laceration of other nervous system organ or structure during other procedure"
"263","H01126",1,5.93870384445105e-09,"Discoid lupus erythematosus of left eye, unspecified eyelid"
"264","H01143",1,6.59855982716783e-09,"Xeroderma of right eye, unspecified eyelid"
"265","H01145",1,1.38569756370524e-08,"Xeroderma of left lower eyelid"
"266","H02144",1,1.81460395247115e-08,"Spastic ectropion of left upper eyelid"
"267","H02146",1,3.9591358963007e-09,"Spastic ectropion of left eye, unspecified eyelid"
"268","H02512",1,7.588343801243e-09,"Abnormal innervation syndrome right lower eyelid"
"269","H02515",1,7.588343801243e-09,"Abnormal innervation syndrome left lower eyelid"
"270","H02711",1,6.92848781852622e-09,"Chloasma of right upper eyelid and periocular area"
"271","H02714",1,6.92848781852622e-09,"Chloasma of left upper eyelid and periocular area"
"272","H02716",1,5.27884786173426e-09,"Chloasma of left eye, unspecified eyelid and periocular area"
"273","H02734",1,8.24819978395979e-09,"Vitiligo of left upper eyelid and periocular area"
"274","H02851",1,1.12175517061853e-08,"Elephantiasis of right upper eyelid"
"275","H02852",1,6.26863183580944e-09,"Elephantiasis of right lower eyelid"
"276","H02853",1,1.6826327559278e-08,"Elephantiasis of right eye, unspecified eyelid"
"277","H02855",1,5.60877585309265e-09,"Elephantiasis of left lower eyelid"
"278","H02856",1,1.61664715765612e-08,"Elephantiasis of left eye, unspecified eyelid"
"279","H02859",1,8.57812777531818e-09,"Elephantiasis of unspecified eye, unspecified eyelid"
"280","H02863",1,1.18774076889021e-08,"Hypertrichosis of right eye, unspecified eyelid"
"281","H04159",1,7.25841580988461e-09,"Secondary lacrimal gland atrophy, unspecified lacrimal gland"
"282","H04162",1,6.59855982716783e-08,"Lacrimal gland dislocation, left lacrimal gland"
"283","H04169",1,1.78161115333531e-08,"Lacrimal gland dislocation, unspecified lacrimal gland"
"284","H04311",1,3.49723670839895e-08,"Phlegmonous dacryocystitis of right lacrimal passage"
"285","H04313",1,7.91827179260139e-09,"Phlegmonous dacryocystitis of bilateral lacrimal passages"
"286","H04431",1,2.04555354642203e-08,"Chronic lacrimal mucocele of right lacrimal passage"
"287","H04433",1,1.38569756370524e-08,"Chronic lacrimal mucocele of bilateral lacrimal passages"
"288","H04519",1,2.21051754210122e-08,"Dacryolith of unspecified lacrimal passage"
"289","H04539",1,3.00234472136136e-08,"Neonatal obstruction of unspecified nasolacrimal duct"
"290","H04579",1,9.89783974075174e-09,"Stenosis of unspecified lacrimal sac"
"291","H04611",1,2.07854634555787e-08,"Lacrimal fistula right lacrimal passage"
"292","H04612",1,3.82716469975734e-08,"Lacrimal fistula left lacrimal passage"
"293","H05041",1,2.73840232827465e-08,"Tenonitis of right orbit"
"294","H05042",1,2.96935192222552e-08,"Tenonitis of left orbit"
"295","H05043",1,2.2765031403729e-08,"Tenonitis of bilateral orbits"
"296","H05312",1,7.85228619432972e-08,"Atrophy of left orbit"
"297","H05321",1,8.57812777531818e-09,"Deformity of right orbit due to bone disease"
"298","H05322",1,8.90805576667657e-09,"Deformity of left orbit due to bone disease"
"299","H05339",1,3.66220070407814e-08,"Deformity of unspecified orbit due to trauma or surgery"
"300","H05342",1,9.89783974075174e-09,"Enlargement of left orbit"
"301","H05352",1,4.61899187901748e-09,"Exostosis of left orbit"
"302","H05359",1,9.89783974075174e-09,"Exostosis of unspecified orbit"
"303","H05413",1,1.05906885226044e-07,"Enophthalmos due to atrophy of orbital tissue, bilateral"
"304","H05419",1,1.02277677321101e-08,"Enophthalmos due to atrophy of orbital tissue, unspecified eye"
"305","H05423",1,1.38569756370524e-08,"Enophthalmos due to trauma or surgery, bilateral"
"306","H05429",1,1.41869036284108e-08,"Enophthalmos due to trauma or surgery, unspecified eye"
"307","H10519",1,1.08876237148269e-08,"Ligneous conjunctivitis, unspecified eye"
