question_id,question,answer_id,answer,q_ev.vaccinated,q_pt.vaccinated,a_ev.vaccinated,a_pt.vaccinated,ev_prop.vaccinated,pt_prop.vaccinated,q_ev.unvaccinated,q_pt.unvaccinated,a_ev.unvaccinated,a_pt.unvaccinated,ev_prop.unvaccinated,pt_prop.unvaccinated,ev_proportion_difference,pt_proportion_difference,lower_CI_ev,upper_CI_ev,lower_CI_pt,upper_CI_pt,p_value_ev,p_value_pt
28043,Number of 50-59 year olds in main home,2,2,6430,6430,93,93,0.014463453,0.014463453,298,298,8,8,0.026845638,0.026845638,-0.012382185,-0.012382185,-0.0161191,-0.00864527,-0.0161191,-0.00864527,0.009914107,0.009914107
28043,Number of 50-59 year olds in main home,0,0,6430,6430,5030,5030,0.782270607,0.782270607,298,298,144,144,0.483221477,0.483221477,0.29904913,0.29904913,0.283577533,0.314520728,0.283577533,0.314520728,0.00472578,0.00472578
28043,Number of 50-59 year olds in main home,-3,Prefer not to answer,6430,6430,15,15,0.002332815,0.002332815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28043,Number of 50-59 year olds in main home,1,1,6430,6430,1290,1290,0.200622084,0.200622084,298,298,145,145,0.486577181,0.486577181,-0.285955097,-0.285955097,-0.301224842,-0.270685352,-0.301224842,-0.270685352,0.015756688,0.015756688
28044,Number of 60-69 year olds in main home,2,2,6430,6430,113,113,0.017573872,0.017573872,298,298,6,6,0.020134228,0.020134228,-0.002560356,-0.002560356,-0.004268064,-8.53E-04,-0.004268064,-8.53E-04,0.001764021,0.001764021
28044,Number of 60-69 year olds in main home,-3,Prefer not to answer,6430,6430,9,9,0.001399689,0.001399689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28044,Number of 60-69 year olds in main home,0,0,6430,6430,4216,4216,0.655676516,0.655676516,298,298,238,238,0.798657718,0.798657718,-0.142981202,-0.142981202,-0.154810385,-0.131152019,-0.154810385,-0.131152019,0.002630531,0.002630531
28044,Number of 60-69 year olds in main home,1,1,6430,6430,2088,2088,0.324727838,0.324727838,298,298,54,54,0.181208054,0.181208054,0.143519785,0.143519785,0.131672068,0.155367501,0.131672068,0.155367501,0.005472368,0.005472368
28045,Number of 70-79 year olds in main home,1,1,6430,6430,1818,1818,0.28273717,0.28273717,298,298,16,16,0.053691275,0.053691275,0.229045894,0.229045894,0.214845657,0.243246132,0.214845657,0.243246132,0.010094191,0.010094191
28045,Number of 70-79 year olds in main home,-3,Prefer not to answer,6430,6430,14,14,0.002177294,0.002177294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28045,Number of 70-79 year olds in main home,0,0,6430,6430,4476,4476,0.696111975,0.696111975,298,298,278,278,0.932885906,0.932885906,-0.236773931,-0.236773931,-0.251139196,-0.222408666,-0.251139196,-0.222408666,0.004075567,0.004075567
28046,Number of 80+ year olds in main home,1,1,6430,6430,441,441,0.068584759,0.068584759,298,298,14,14,0.046979866,0.046979866,0.021604893,0.021604893,0.016691819,0.026517967,0.016691819,0.026517967,0.003886401,0.003886401
28046,Number of 80+ year olds in main home,0,0,6430,6430,5962,5962,0.927216174,0.927216174,298,298,284,284,0.953020134,0.953020134,-0.02580396,-0.02580396,-0.03116176,-0.020446161,-0.03116176,-0.020446161,3.39E-04,3.39E-04
28046,Number of 80+ year olds in main home,-3,Prefer not to answer,6430,6430,16,16,0.002488336,0.002488336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28046,Number of 80+ year olds in main home,2,2,6430,6430,11,11,0.001710731,0.001710731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28047,Young people in main home attended school or other childcare setting between mid-March and the end of June (i.e the first UK lockdown),1,Yes,827,827,235,235,0.284159613,0.284159613,68,68,23,23,0.338235294,0.338235294,-0.054075681,-0.054075681,-0.075030348,-0.033121014,-0.075030348,-0.033121014,0.006262648,0.006262648
28047,Young people in main home attended school or other childcare setting between mid-March and the end of June (i.e the first UK lockdown),0,No,827,827,578,578,0.698911729,0.698911729,68,68,45,45,0.661764706,0.661764706,0.037147023,0.037147023,0.019624624,0.054669422,0.019624624,0.054669422,0.001783627,0.001783627
28047,Young people in main home attended school or other childcare setting between mid-March and the end of June (i.e the first UK lockdown),-3,Prefer not to answer,827,827,14,14,0.016928658,0.016928658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28048,Young people in main home attended school or other childcare setting between the start of July and mid-September,0,No,827,827,435,435,0.525997582,0.525997582,68,68,30,30,0.441176471,0.441176471,0.084821111,0.084821111,0.059007037,0.110635185,0.059007037,0.110635185,0.005452009,0.005452009
28048,Young people in main home attended school or other childcare setting between the start of July and mid-September,-3,Prefer not to answer,827,827,17,17,0.020556227,0.020556227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28048,Young people in main home attended school or other childcare setting between the start of July and mid-September,1,Yes,827,827,375,375,0.453446191,0.453446191,68,68,38,38,0.558823529,0.558823529,-0.105377338,-0.105377338,-0.133824906,-0.076929771,-0.133824906,-0.076929771,0.007619301,0.007619301
28049,Young people in main home attended school or other childcare setting between mid-September and the end of October,-3,Prefer not to answer,827,827,18,18,0.021765417,0.021765417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049,Young people in main home attended school or other childcare setting between mid-September and the end of October,1,Yes,827,827,585,585,0.707376058,0.707376058,68,68,57,57,0.838235294,0.838235294,-0.130859236,-0.130859236,-0.162105552,-0.09961292,-0.162105552,-0.09961292,0.006090797,0.006090797
28049,Young people in main home attended school or other childcare setting between mid-September and the end of October,0,No,827,827,224,224,0.270858525,0.270858525,68,68,11,11,0.161764706,0.161764706,0.109093819,0.109093819,0.080209134,0.137978504,0.080209134,0.137978504,0.013804731,0.013804731
28050,Young people in main home attended school or other childcare setting between the start of November and the start of December,-3,Prefer not to answer,827,827,16,16,0.019347037,0.019347037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28050,Young people in main home attended school or other childcare setting between the start of November and the start of December,1,Yes,827,827,545,545,0.659008464,0.659008464,68,68,52,52,0.764705882,0.764705882,-0.105697418,-0.105697418,-0.134183059,-0.077211777,-0.134183059,-0.077211777,0.005291991,0.005291991
28050,Young people in main home attended school or other childcare setting between the start of November and the start of December,0,No,827,827,266,266,0.321644498,0.321644498,68,68,16,16,0.235294118,0.235294118,0.086350381,0.086350381,0.060326411,0.11237435,0.060326411,0.11237435,0.009136602,0.009136602
28051,Number of people in main home who regularly worked outside the home,1,1,6432,6432,1504,1504,0.233830846,0.233830846,300,300,92,92,0.306666667,0.306666667,-0.072835821,-0.072835821,-0.081614757,-0.064056885,-0.081614757,-0.064056885,0.003736915,0.003736915
28051,Number of people in main home who regularly worked outside the home,10,More than 20,6432,6432,10,10,0.001554726,0.001554726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28051,Number of people in main home who regularly worked outside the home,3,3,6432,6432,78,78,0.012126866,0.012126866,300,300,13,13,0.043333333,0.043333333,-0.031206468,-0.031206468,-0.0370804,-0.025332535,-0.0370804,-0.025332535,0.02540195,0.02540195
28051,Number of people in main home who regularly worked outside the home,0,0,6432,6432,4496,4496,0.699004975,0.699004975,300,300,161,161,0.536666667,0.536666667,0.162338308,0.162338308,0.149880666,0.174795951,0.149880666,0.174795951,0.00285679,0.00285679
28051,Number of people in main home who regularly worked outside the home,2,2,6432,6432,317,317,0.049284826,0.049284826,300,300,30,30,0.1,0.1,-0.050715174,-0.050715174,-0.058127564,-0.043302784,-0.058127564,-0.043302784,0.011751944,0.011751944
28052,Number of people in main home had COVID-19,2,2,6432,6432,108,108,0.016791045,0.016791045,300,300,11,11,0.036666667,0.036666667,-0.019875622,-0.019875622,-0.024590734,-0.01516051,-0.024590734,-0.01516051,0.01334937,0.01334937
28052,Number of people in main home had COVID-19,1,1,6432,6432,567,567,0.088152985,0.088152985,300,300,46,46,0.153333333,0.153333333,-0.065180348,-0.065180348,-0.073519335,-0.056841361,-0.073519335,-0.056841361,0.008630617,0.008630617
28052,Number of people in main home had COVID-19,-1,Do not know,6432,6432,231,231,0.035914179,0.035914179,300,300,12,12,0.04,0.04,-0.004085821,-0.004085821,-0.006240793,-0.001930849,-0.006240793,-0.001930849,0.001379198,0.001379198
28052,Number of people in main home had COVID-19,0,0,6432,6432,5464,5464,0.849502488,0.849502488,300,300,225,225,0.75,0.75,0.099502488,0.099502488,0.089390203,0.109614772,0.089390203,0.109614772,0.001434637,0.001434637
28052,Number of people in main home had COVID-19,3,3,6432,6432,39,39,0.006063433,0.006063433,300,300,5,5,0.016666667,0.016666667,-0.010603234,-0.010603234,-0.014063388,-0.00714308,-0.014063388,-0.00714308,0.018749695,0.018749695
28053,Number of people in main home tested positive for COVID-19,0,0,737,737,408,408,0.553595658,0.553595658,63,63,41,41,0.650793651,0.650793651,-0.097197993,-0.097197993,-0.126227723,-0.068168262,-0.126227723,-0.068168262,0.006116232,0.006116232
28053,Number of people in main home tested positive for COVID-19,1,1,737,737,259,259,0.351424695,0.351424695,63,63,16,16,0.253968254,0.253968254,0.097456441,0.097456441,0.068392302,0.126520579,0.068392302,0.126520579,0.009994482,0.009994482
28054,Care or support provided to people with COVID-19,-7,None of the above,345,311,149,149,0.431884058,0.479099678,25,21,10,10,0.4,0.476190476,0.031884058,0.002909202,0.006567031,0.057201085,-0.0052839,0.011102304,0.003856577,3.33E-04
28054,Care or support provided to people with COVID-19,2,"Providing other support (e.g., preparing meals, grocery shopping, using the telephone, collecting medication, managing money)",345,311,155,155,0.449275362,0.498392283,25,21,10,10,0.4,0.476190476,0.049275362,0.022201807,0.018086142,0.080464582,-2.12E-04,0.044615469,0.005742219,0.002451589
28055,Time spent per day within 1 metre of people with COVID-19,5,More than 2 hours,311,311,176,176,0.565916399,0.565916399,21,21,11,11,0.523809524,0.523809524,0.042106875,0.042106875,0.011555618,0.072658132,0.011555618,0.072658132,0.004102122,0.004102122
28055,Time spent per day within 1 metre of people with COVID-19,-3,Prefer not to answer,311,311,5,5,0.01607717,0.01607717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28056,Qualifications,2,A levels/AS levels or equivalent,16670,8607,2847,2847,0.170785843,0.330777274,882,399,133,133,0.150793651,0.333333333,0.019992192,-0.002556059,0.017063695,0.022920689,-0.004030838,-0.00108128,8.89E-04,8.14E-05
28056,Qualifications,3,O levels/GCSEs or equivalent,16670,8607,3726,3726,0.223515297,0.432903451,882,399,201,201,0.227891156,0.503759398,-0.00437586,-0.070855948,-0.005756813,-0.002994906,-0.078350174,-0.063361722,1.48E-04,0.00171135
28056,Qualifications,-7,None of the above,16670,8607,632,632,0.037912418,0.073428605,882,399,15,15,0.017006803,0.037593985,0.020905615,0.03583462,0.017912361,0.023898869,0.030405564,0.041263675,0.004248288,0.005228642
28056,Qualifications,6,"Other professional qualifications eg: nursing, teaching",16670,8607,2490,2490,0.149370126,0.289299407,882,399,125,125,0.141723356,0.313283208,0.00764677,-0.023983801,0.005824251,0.009469288,-0.028452536,-0.019515065,3.87E-04,8.70E-04
28056,Qualifications,4,CSEs or equivalent,16670,8607,933,933,0.055968806,0.108400139,882,399,79,79,0.089569161,0.197994987,-0.033600355,-0.089594848,-0.037370431,-0.029830279,-0.097936575,-0.081253121,0.004363504,0.008290883
28056,Qualifications,1,College or University degree,16670,8607,4587,4587,0.275164967,0.532938306,882,399,224,224,0.253968254,0.561403509,0.021196713,-0.028465203,0.01818314,0.024210286,-0.033322374,-0.023608031,5.84E-04,5.61E-04
28056,Qualifications,5,NVQ or HND or HNC or equivalent,16670,8607,1390,1390,0.083383323,0.161496456,882,399,99,99,0.112244898,0.248120301,-0.028861575,-0.086623844,-0.032364254,-0.025358895,-0.094839471,-0.078408218,0.002560899,0.005489078
28056,Qualifications,-3,Prefer not to answer,16670,8607,65,65,0.00389922,0.007551993,882,399,6,6,0.006802721,0.015037594,-0.002903501,-0.007485601,-0.004029218,-0.001777784,-0.010003156,-0.004968047,0.005352445,0.009819726
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),8,Doing unpaid or voluntary work,8607,8607,186,186,0.021610317,0.021610317,399,399,5,5,0.012531328,0.012531328,0.009078989,0.009078989,0.006308634,0.011849344,0.006308634,0.011849344,0.004493571,0.004493571
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),7,Unemployed,8607,8607,88,88,0.010224236,0.010224236,399,399,15,15,0.037593985,0.037593985,-0.027369749,-0.027369749,-0.032135226,-0.022604272,-0.032135226,-0.022604272,0.022623162,0.022623162
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),5,Looking after home and/or family,8607,8607,199,199,0.023120716,0.023120716,399,399,15,15,0.037593985,0.037593985,-0.014473269,-0.014473269,-0.017961576,-0.010984963,-0.017961576,-0.010984963,0.006368459,0.006368459
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),3,Employed/Self-employed and working from home,8607,8607,1674,1674,0.194492855,0.194492855,399,399,144,144,0.360902256,0.360902256,-0.166409401,-0.166409401,-0.177287737,-0.155531065,-0.177287737,-0.155531065,0.008564264,0.008564264
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),10,None of the above,8607,8607,157,157,0.018240967,0.018240967,399,399,7,7,0.01754386,0.01754386,6.97E-04,6.97E-04,-7.38E-05,0.001468002,-7.38E-05,0.001468002,4.03E-04,4.03E-04
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),4,Retired,8607,8607,4822,4822,0.560241664,0.560241664,399,399,69,69,0.172932331,0.172932331,0.387309333,0.387309333,0.373081239,0.401537427,0.373081239,0.401537427,0.00743532,0.00743532
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),6,Unable to work because of sickness or disability,8607,8607,130,130,0.015103985,0.015103985,399,399,14,14,0.035087719,0.035087719,-0.019983734,-0.019983734,-0.024071181,-0.015896288,-0.024071181,-0.015896288,0.012754791,0.012754791
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),2,Employed/Self-employed and working alone at a workplace,8607,8607,197,197,0.022888347,0.022888347,399,399,16,16,0.040100251,0.040100251,-0.017211904,-0.017211904,-0.021010661,-0.013413147,-0.021010661,-0.013413147,0.007584023,0.007584023
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),1,Employed/Self-employed and working with others at a workplace,8607,8607,1124,1124,0.130591379,0.130591379,399,399,109,109,0.273182957,0.273182957,-0.142591578,-0.142591578,-0.152804216,-0.132378941,-0.152804216,-0.132378941,0.010731136,0.010731136
28058,Employment situation changed since the end of June 2020,1,Yes,8607,8607,774,774,0.089926804,0.089926804,399,399,55,55,0.137844612,0.137844612,-0.047917808,-0.047917808,-0.054156346,-0.04167927,-0.054156346,-0.04167927,0.0054542,0.0054542
28058,Employment situation changed since the end of June 2020,0,No,8607,8607,7778,7778,0.903683049,0.903683049,399,399,344,344,0.862155388,0.862155388,0.04152766,0.04152766,0.035700518,0.047354803,0.035700518,0.047354803,4.85E-04,4.85E-04
28058,Employment situation changed since the end of June 2020,-3,Prefer not to answer,8607,8607,55,55,0.006390148,0.006390148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28059,Employment situation between the start of July and mid-September,7,Unemployed,774,774,53,53,0.068475452,0.068475452,55,55,11,11,0.2,0.2,-0.131524548,-0.131524548,-0.164060836,-0.09898826,-0.164060836,-0.09898826,0.054475645,0.054475645
28059,Employment situation between the start of July and mid-September,1,Employed/Self-employed and working with others at a workplace,774,774,287,287,0.370801034,0.370801034,55,55,25,25,0.454545455,0.454545455,-0.083744421,-0.083744421,-0.110411293,-0.057077549,-0.110411293,-0.057077549,0.00771638,0.00771638
28059,Employment situation between the start of July and mid-September,3,Employed/Self-employed and working from home,774,774,162,162,0.209302326,0.209302326,55,55,10,10,0.181818182,0.181818182,0.027484144,0.027484144,0.011745211,0.043223076,0.011745211,0.043223076,0.004598277,0.004598277
28059,Employment situation between the start of July and mid-September,6,Unable to work because of sickness or disability,774,774,15,15,0.019379845,0.019379845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28059,Employment situation between the start of July and mid-September,10,None of the above,774,774,55,55,0.071059432,0.071059432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28060,Employment situation between mid-September and the end of October,3,Employed/Self-employed and working from home,774,774,137,137,0.177002584,0.177002584,55,55,5,5,0.090909091,0.090909091,0.086093493,0.086093493,0.05908988,0.113097106,0.05908988,0.113097106,0.017321583,0.017321583
28060,Employment situation between mid-September and the end of October,7,Unemployed,774,774,60,60,0.07751938,0.07751938,55,55,9,9,0.163636364,0.163636364,-0.086116984,-0.086116984,-0.113123933,-0.059110034,-0.113123933,-0.059110034,0.034799669,0.034799669
28060,Employment situation between mid-September and the end of October,1,Employed/Self-employed and working with others at a workplace,774,774,324,324,0.418604651,0.418604651,55,55,23,23,0.418181818,0.418181818,4.23E-04,4.23E-04,-0.001556316,0.002401982,-0.001556316,0.002401982,3.51E-05,3.51E-05
28060,Employment situation between mid-September and the end of October,4,Retired,774,774,120,120,0.15503876,0.15503876,55,55,6,6,0.109090909,0.109090909,0.045947851,0.045947851,0.025791845,0.066103857,0.025791845,0.066103857,0.010469986,0.010469986
28061,Employment situation between the start of November and the start of December,4,Retired,774,774,138,138,0.178294574,0.178294574,55,55,5,5,0.090909091,0.090909091,0.087385483,0.087385483,0.060199242,0.114571723,0.060199242,0.114571723,0.017456442,0.017456442
28061,Employment situation between the start of November and the start of December,3,Employed/Self-employed and working from home,774,774,141,141,0.182170543,0.182170543,55,55,7,7,0.127272727,0.127272727,0.054897815,0.054897815,0.032969628,0.076826003,0.032969628,0.076826003,0.010648844,0.010648844
28061,Employment situation between the start of November and the start of December,7,Unemployed,774,774,70,70,0.090439276,0.090439276,55,55,10,10,0.181818182,0.181818182,-0.091378905,-0.091378905,-0.119118506,-0.063639305,-0.119118506,-0.063639305,0.032010734,0.032010734
28061,Employment situation between the start of November and the start of December,1,Employed/Self-employed and working with others at a workplace,774,774,284,284,0.366925065,0.366925065,55,55,22,22,0.4,0.4,-0.033074935,-0.033074935,-0.050290915,-0.015858956,-0.050290915,-0.015858956,0.003111336,0.003111336
28062,Designated key worker between 1st March 2020 and 30th November 2020,0,No,8607,8607,6679,6679,0.775996282,0.775996282,399,399,269,269,0.674185464,0.674185464,0.101810818,0.101810818,0.092978433,0.110643203,0.092978433,0.110643203,0.001390081,0.001390081
28062,Designated key worker between 1st March 2020 and 30th November 2020,1,Yes,8607,8607,1276,1276,0.148251423,0.148251423,399,399,113,113,0.28320802,0.28320802,-0.134956597,-0.134956597,-0.144936197,-0.124976997,-0.144936197,-0.124976997,0.009074646,0.009074646
