question_id,question,answer_id,answer,q_ev.covid,q_pt.covid,a_ev.covid,a_pt.covid,ev_prop.covid,pt_prop.covid,q_ev.non_covid,q_pt.non_covid,a_ev.non_covid,a_pt.non_covid,ev_prop.non_covid,pt_prop.non_covid,ev_prop_difference,pt_prop_difference,lower_CI_ev,upper_CI_ev,lower_CI_pt,upper_CI_pt,p_value_ev,p_value_pt
28035,Number of separate rooms in main home,9,16-20,NA,NA,NA,NA,NA,NA,9633,9633,9,9,9.34E-04,9.34E-04,NA,NA,NA,NA,NA,NA,NA,NA
28036,Lives with others in main home,0,No,314,314,60,60,0.191082803,0.191082803,9633,9633,2461,2461,0.255475968,0.255475968,-0.064393165,-0.064393165,-0.071214724,-0.057571607,-0.071214724,-0.057571607,0.002544983,0.002544983
28036,Lives with others in main home,1,Yes,314,314,253,253,0.805732484,0.805732484,9633,9633,7159,7159,0.743174504,0.743174504,0.06255798,0.06255798,0.055827739,0.06928822,0.055827739,0.06928822,8.42E-04,8.42E-04
28037,Number of 0-4 year olds in main home,4,4,NA,NA,NA,NA,NA,NA,7159,7159,7,7,9.78E-04,9.78E-04,NA,NA,NA,NA,NA,NA,NA,NA
28037,Number of 0-4 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,17,17,0.002374633,0.002374633,NA,NA,NA,NA,NA,NA,NA,NA
28037,Number of 0-4 year olds in main home,0,0,253,253,242,242,0.956521739,0.956521739,7159,7159,6859,6859,0.958094706,0.958094706,-0.001572967,-0.001572967,-0.002848857,-2.97E-04,-0.002848857,-2.97E-04,1.91E-05,1.91E-05
28037,Number of 0-4 year olds in main home,1,1,253,253,7,7,0.027667984,0.027667984,7159,7159,173,173,0.024165386,0.024165386,0.003502598,0.003502598,0.001600519,0.005404677,0.001600519,0.005404677,0.001674698,0.001674698
28037,Number of 0-4 year olds in main home,5,5,NA,NA,NA,NA,NA,NA,7159,7159,6,6,8.38E-04,8.38E-04,NA,NA,NA,NA,NA,NA,NA,NA
28038,Number of 5-11 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,16,16,0.002234949,0.002234949,NA,NA,NA,NA,NA,NA,NA,NA
28038,Number of 5-11 year olds in main home,0,0,253,253,241,241,0.95256917,0.95256917,7159,7159,6913,6913,0.965637659,0.965637659,-0.013068489,-0.013068489,-0.016724871,-0.009412107,-0.016724871,-0.009412107,1.57E-04,1.57E-04
28038,Number of 5-11 year olds in main home,1,1,253,253,8,8,0.031620553,0.031620553,7159,7159,178,178,0.024863808,0.024863808,0.006756746,0.006756746,0.004119249,0.009394243,0.004119249,0.009394243,0.003123733,0.003123733
28039,Number of 12-18 year olds in main home,1,1,253,253,23,23,0.090909091,0.090909091,7159,7159,424,424,0.059226149,0.059226149,0.031682942,0.031682942,0.026043749,0.037322135,0.026043749,0.037322135,0.006074615,0.006074615
28039,Number of 12-18 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,15,15,0.002095265,0.002095265,NA,NA,NA,NA,NA,NA,NA,NA
28039,Number of 12-18 year olds in main home,0,0,253,253,220,220,0.869565217,0.869565217,7159,7159,6532,6532,0.912417935,0.912417935,-0.042852718,-0.042852718,-0.049373114,-0.036332322,-0.049373114,-0.036332322,5.46E-04,5.46E-04
28039,Number of 12-18 year olds in main home,2,2,253,253,8,8,0.031620553,0.031620553,7159,7159,171,171,0.023886018,0.023886018,0.007734536,0.007734536,0.004914034,0.010555038,0.004914034,0.010555038,0.003713777,0.003713777
28040,Number of 19-29 year olds in main home,2,2,253,253,12,12,0.04743083,0.04743083,7159,7159,374,374,0.052241933,0.052241933,-0.004811103,-0.004811103,-0.007038874,-0.002583333,-0.007038874,-0.002583333,0.001072912,0.001072912
28040,Number of 19-29 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,16,16,0.002234949,0.002234949,NA,NA,NA,NA,NA,NA,NA,NA
28040,Number of 19-29 year olds in main home,0,0,253,253,190,190,0.750988142,0.750988142,7159,7159,5890,5890,0.822740606,0.822740606,-0.071752464,-0.071752464,-0.080061405,-0.063443523,-0.080061405,-0.063443523,0.001015889,0.001015889
28040,Number of 19-29 year olds in main home,1,1,253,253,46,46,0.181818182,0.181818182,7159,7159,809,809,0.11300461,0.11300461,0.068813572,0.068813572,0.060663701,0.076963444,0.060663701,0.076963444,0.006888789,0.006888789
28041,Number of 30-39 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,17,17,0.002374633,0.002374633,NA,NA,NA,NA,NA,NA,NA,NA
28041,Number of 30-39 year olds in main home,0,0,253,253,223,223,0.881422925,0.881422925,7159,7159,6525,6525,0.911440145,0.911440145,-0.03001722,-0.03001722,-0.035510891,-0.02452355,-0.035510891,-0.02452355,3.83E-04,3.83E-04
28041,Number of 30-39 year olds in main home,1,1,253,253,20,20,0.079051383,0.079051383,7159,7159,481,481,0.067188155,0.067188155,0.011863229,0.011863229,0.008377405,0.015349052,0.008377405,0.015349052,0.00203757,0.00203757
28041,Number of 30-39 year olds in main home,2,2,253,253,9,9,0.035573123,0.035573123,7159,7159,105,105,0.014666853,0.014666853,0.02090627,0.02090627,0.016300038,0.025512501,0.016300038,0.025512501,0.015328489,0.015328489
28041,Number of 30-39 year olds in main home,3,3,NA,NA,NA,NA,NA,NA,7159,7159,18,18,0.002514318,0.002514318,NA,NA,NA,NA,NA,NA,NA,NA
28041,Number of 30-39 year olds in main home,4,4,NA,NA,NA,NA,NA,NA,7159,7159,5,5,6.98E-04,6.98E-04,NA,NA,NA,NA,NA,NA,NA,NA
28042,Number of 40-49 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,18,18,0.002514318,0.002514318,NA,NA,NA,NA,NA,NA,NA,NA
28042,Number of 40-49 year olds in main home,0,0,253,253,225,225,0.889328063,0.889328063,7159,7159,6519,6519,0.910602039,0.910602039,-0.021273976,-0.021273976,-0.025919667,-0.016628286,-0.025919667,-0.016628286,2.72E-04,2.72E-04
28042,Number of 40-49 year olds in main home,1,1,253,253,26,26,0.102766798,0.102766798,7159,7159,578,578,0.080737533,0.080737533,0.022029265,0.022029265,0.01730365,0.02675488,0.01730365,0.02675488,0.003136232,0.003136232
28042,Number of 40-49 year olds in main home,2,2,NA,NA,NA,NA,NA,NA,7159,7159,36,36,0.005028635,0.005028635,NA,NA,NA,NA,NA,NA,NA,NA
28043,Number of 50-59 year olds in main home,0,0,253,253,172,172,0.679841897,0.679841897,7159,7159,5489,5489,0.766727197,0.766727197,-0.086885299,-0.086885299,-0.09595371,-0.077816888,-0.09595371,-0.077816888,0.001321077,0.001321077
28043,Number of 50-59 year olds in main home,1,1,253,253,71,71,0.280632411,0.280632411,7159,7159,1536,1536,0.214555105,0.214555105,0.066077306,0.066077306,0.058079386,0.074075225,0.058079386,0.074075225,0.003534599,0.003534599
28043,Number of 50-59 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,16,16,0.002234949,0.002234949,NA,NA,NA,NA,NA,NA,NA,NA
28043,Number of 50-59 year olds in main home,2,2,253,253,9,9,0.035573123,0.035573123,7159,7159,110,110,0.015365274,0.015365274,0.020207848,0.020207848,0.015677596,0.0247381,0.015677596,0.0247381,0.014252318,0.014252318
28044,Number of 60-69 year olds in main home,1,1,253,253,87,87,0.343873518,0.343873518,7159,7159,2227,2227,0.311076966,0.311076966,0.032796552,0.032796552,0.02706241,0.038530693,0.02706241,0.038530693,0.001219982,0.001219982
28044,Number of 60-69 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,13,13,0.001815896,0.001815896,NA,NA,NA,NA,NA,NA,NA,NA
28044,Number of 60-69 year olds in main home,0,0,253,253,158,158,0.624505929,0.624505929,7159,7159,4791,4791,0.669227546,0.669227546,-0.044721617,-0.044721617,-0.051376173,-0.038067061,-0.051376173,-0.038067061,7.78E-04,7.78E-04
28044,Number of 60-69 year olds in main home,2,2,253,253,7,7,0.027667984,0.027667984,7159,7159,121,121,0.016901802,0.016901802,0.010766182,0.010766182,0.0074436,0.014088764,0.0074436,0.014088764,0.007195395,0.007195395
28045,Number of 70-79 year olds in main home,1,1,253,253,40,40,0.158102767,0.158102767,7159,7159,1967,1967,0.274759045,0.274759045,-0.116656278,-0.116656278,-0.126991369,-0.106321187,-0.126991369,-0.106321187,0.004988888,0.004988888
28045,Number of 70-79 year olds in main home,2,2,253,253,5,5,0.019762846,0.019762846,7159,7159,139,139,0.01941612,0.01941612,3.47E-04,3.47E-04,-2.53E-04,9.46E-04,-2.53E-04,9.46E-04,2.07E-04,2.07E-04
28045,Number of 70-79 year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,16,16,0.002234949,0.002234949,NA,NA,NA,NA,NA,NA,NA,NA
28045,Number of 70-79 year olds in main home,0,0,253,253,207,207,0.818181818,0.818181818,7159,7159,5032,5032,0.702891465,0.702891465,0.115290353,0.115290353,0.105008006,0.1255727,0.105008006,0.1255727,0.001893747,0.001893747
28046,Number of 80+ year olds in main home,2,2,NA,NA,NA,NA,NA,NA,7159,7159,13,13,0.001815896,0.001815896,NA,NA,NA,NA,NA,NA,NA,NA
28046,Number of 80+ year olds in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,7159,7159,20,20,0.002793686,0.002793686,NA,NA,NA,NA,NA,NA,NA,NA
28046,Number of 80+ year olds in main home,0,0,253,253,245,245,0.968379447,0.968379447,7159,7159,6614,6614,0.923872049,0.923872049,0.044507397,0.044507397,0.037868054,0.051146741,0.037868054,0.051146741,5.59E-04,5.59E-04
28046,Number of 80+ year olds in main home,1,1,253,253,7,7,0.027667984,0.027667984,7159,7159,509,509,0.071099316,0.071099316,-0.043431331,-0.043431331,-0.049993615,-0.036869047,-0.049993615,-0.036869047,0.007200332,0.007200332
28047,Young people in main home attended school or other childcare setting between mid-March and the end of June (i.e the first UK lockdown),0,No,47,47,30,30,0.638297872,0.638297872,973,973,669,669,0.687564234,0.687564234,-0.049266362,-0.049266362,-0.06804948,-0.030483244,-0.06804948,-0.030483244,0.002250734,0.002250734
28047,Young people in main home attended school or other childcare setting between mid-March and the end of June (i.e the first UK lockdown),1,Yes,47,47,16,16,0.340425532,0.340425532,973,973,287,287,0.294964029,0.294964029,0.045461503,0.045461503,0.027382203,0.063540804,0.027382203,0.063540804,0.004789364,0.004789364
28048,Young people in main home attended school or other childcare setting between the start of July and mid-September,1,Yes,47,47,29,29,0.617021277,0.617021277,973,973,441,441,0.45323741,0.45323741,0.163783867,0.163783867,0.131665176,0.195902557,0.131665176,0.195902557,0.011098666,0.011098666
28048,Young people in main home attended school or other childcare setting between the start of July and mid-September,0,No,47,47,17,17,0.361702128,0.361702128,973,973,511,511,0.525179856,0.525179856,-0.163477728,-0.163477728,-0.195572261,-0.131383196,-0.195572261,-0.131383196,0.009866767,0.009866767
28049,Young people in main home attended school or other childcare setting between mid-September and the end of October,0,No,47,47,7,7,0.14893617,0.14893617,973,973,261,261,0.268242549,0.268242549,-0.119306379,-0.119306379,-0.147438809,-0.091173948,-0.147438809,-0.091173948,0.014153695,0.014153695
28049,Young people in main home attended school or other childcare setting between mid-September and the end of October,1,Yes,47,47,39,39,0.829787234,0.829787234,973,973,690,690,0.709146968,0.709146968,0.120640266,0.120640266,0.092372438,0.148908093,0.092372438,0.148908093,0.005281935,0.005281935
28050,Young people in main home attended school or other childcare setting between the start of November and the start of December,0,No,47,47,9,9,0.191489362,0.191489362,973,973,313,313,0.321685509,0.321685509,-0.130196147,-0.130196147,-0.159402191,-0.100990103,-0.159402191,-0.100990103,0.012865447,0.012865447
28050,Young people in main home attended school or other childcare setting between the start of November and the start of December,1,Yes,47,47,37,37,0.787234043,0.787234043,973,973,640,640,0.657759507,0.657759507,0.129474536,0.129474536,0.100337463,0.158611609,0.100337463,0.158611609,0.006102853,0.006102853
28051,Number of people in main home who regularly worked outside the home,1,1,253,253,96,96,0.37944664,0.37944664,7164,7164,1686,1686,0.235343384,0.235343384,0.144103257,0.144103257,0.132800184,0.15540633,0.132800184,0.15540633,0.006923435,0.006923435
28051,Number of people in main home who regularly worked outside the home,0,0,253,253,124,124,0.490118577,0.490118577,7164,7164,4974,4974,0.694304858,0.694304858,-0.204186281,-0.204186281,-0.217160103,-0.191212458,-0.217160103,-0.191212458,0.003444375,0.003444375
28051,Number of people in main home who regularly worked outside the home,4,4,NA,NA,NA,NA,NA,NA,7164,7164,18,18,0.002512563,0.002512563,NA,NA,NA,NA,NA,NA,NA,NA
28051,Number of people in main home who regularly worked outside the home,2,2,253,253,23,23,0.090909091,0.090909091,7164,7164,360,360,0.050251256,0.050251256,0.040657835,0.040657835,0.034301484,0.047014185,0.034301484,0.047014185,0.009050426,0.009050426
28051,Number of people in main home who regularly worked outside the home,3,3,253,253,5,5,0.019762846,0.019762846,7164,7164,99,99,0.013819095,0.013819095,0.00594375,0.00594375,0.003469836,0.008417665,0.003469836,0.008417665,0.004907492,0.004907492
28052,Number of people in main home had COVID-19,2,2,253,253,28,28,0.110671937,0.110671937,7164,7164,103,103,0.014377443,0.014377443,0.096294494,0.096294494,0.08680019,0.105788798,0.08680019,0.105788798,0.044996981,0.044996981
28052,Number of people in main home had COVID-19,0,0,253,253,106,106,0.418972332,0.418972332,7164,7164,6168,6168,0.860971524,0.860971524,-0.441999192,-0.441999192,-0.457982884,-0.4260155,-0.457982884,-0.4260155,0.006040132,0.006040132
28052,Number of people in main home had COVID-19,1,1,253,253,100,100,0.395256917,0.395256917,7164,7164,561,561,0.078308208,0.078308208,0.316948709,0.316948709,0.301973597,0.331923822,0.301973597,0.331923822,0.034694342,0.034694342
28052,Number of people in main home had COVID-19,3,3,253,253,9,9,0.035573123,0.035573123,7164,7164,41,41,0.00572306,0.00572306,0.029850063,0.029850063,0.024373085,0.035327041,0.024373085,0.035327041,0.040075194,0.040075194
28053,Number of people in main home tested positive for COVID-19,2,2,143,143,22,22,0.153846154,0.153846154,725,725,19,19,0.026206897,0.026206897,0.127639257,0.127639257,0.096245491,0.159033023,0.096245491,0.159033023,0.064777762,0.064777762
28053,Number of people in main home tested positive for COVID-19,3,3,143,143,5,5,0.034965035,0.034965035,725,725,6,6,0.008275862,0.008275862,0.026689173,0.026689173,0.011525774,0.041852572,0.011525774,0.041852572,0.056330804,0.056330804
28053,Number of people in main home tested positive for COVID-19,0,0,143,143,19,19,0.132867133,0.132867133,725,725,466,466,0.642758621,0.642758621,-0.509891488,-0.509891488,-0.556922923,-0.462860053,-0.556922923,-0.462860053,0.02933853,0.02933853
28053,Number of people in main home tested positive for COVID-19,1,1,143,143,90,90,0.629370629,0.629370629,725,725,208,208,0.286896552,0.286896552,0.342474078,0.342474078,0.297829007,0.387119149,0.297829007,0.387119149,0.031754446,0.031754446
28054,Care or support provided to people with COVID-19,-7,None of the above,141,123,61,61,0.432624113,0.495934959,263,238,113,113,0.429657795,0.474789916,0.002966319,0.021145043,-0.004533249,0.010465887,1.57E-04,0.042133135,3.43E-04,0.002308443
28054,Care or support provided to people with COVID-19,1,"Assisting with personal care activities (e.g., dressing, eating, walking, taking medications)",141,123,20,20,0.141843972,0.162601626,263,238,29,29,0.11026616,0.121848739,0.031577812,0.040752887,0.007462339,0.055693285,0.01190899,0.069596783,0.012854579,0.015644539
28054,Care or support provided to people with COVID-19,2,"Providing other support (e.g., preparing meals, grocery shopping, using the telephone, collecting medication, managing money)",141,123,58,58,0.411347518,0.471544715,263,238,120,120,0.456273764,0.504201681,-0.044926247,-0.032656965,-0.073491687,-0.016360806,-0.058586078,-0.006727853,0.005067088,0.00348414
28055,Time spent per day within 1 metre of people with COVID-19,1,Less than 10 minutes,123,123,12,12,0.097560976,0.097560976,238,238,69,69,0.289915966,0.289915966,-0.192354991,-0.192354991,-0.249855471,-0.13485451,-0.249855471,-0.13485451,0.041801554,0.041801554
28055,Time spent per day within 1 metre of people with COVID-19,5,More than 2 hours,123,123,90,90,0.731707317,0.731707317,238,238,113,113,0.474789916,0.474789916,0.256917401,0.256917401,0.193175532,0.32065927,0.193175532,0.32065927,0.023501773,0.023501773
28055,Time spent per day within 1 metre of people with COVID-19,2,10 to 29 minutes,123,123,8,8,0.06504065,0.06504065,238,238,20,20,0.084033613,0.084033613,-0.018992963,-0.018992963,-0.038906202,9.20E-04,-0.038906202,9.20E-04,0.012802151,0.012802151
28055,Time spent per day within 1 metre of people with COVID-19,4,1 to 2 hours,123,123,9,9,0.073170732,0.073170732,238,238,21,21,0.088235294,0.088235294,-0.015064562,-0.015064562,-0.032834734,0.00270561,-0.032834734,0.00270561,0.00950587,0.00950587
28056,Qualifications,3,O levels/GCSEs or equivalent,582,314,126,126,0.216494845,0.401273885,18777,9638,4194,4194,0.223358364,0.435152521,-0.006863519,-0.033878636,-0.008508267,-0.00521877,-0.038905379,-0.028851893,2.21E-04,7.82E-04
28056,Qualifications,-7,None of the above,582,314,23,23,0.0395189,0.073248408,18777,9638,708,708,0.037705704,0.073459224,0.001813197,-2.11E-04,9.66E-04,0.002660717,-6.14E-04,1.93E-04,3.45E-04,2.88E-05
28056,Qualifications,1,College or University degree,582,314,151,151,0.259450172,0.48089172,18777,9638,5159,5159,0.274751025,0.535277028,-0.015300853,-0.054385309,-0.017746148,-0.012855559,-0.060686255,-0.048084362,4.01E-04,0.001021582
28056,Qualifications,2,A levels/AS levels or equivalent,582,314,86,86,0.147766323,0.27388535,18777,9638,3204,3204,0.170634287,0.332434115,-0.022867964,-0.058548765,-0.025845877,-0.019890051,-0.06507204,-0.05202549,9.67E-04,0.001774471
28056,Qualifications,4,CSEs or equivalent,582,314,40,40,0.068728522,0.127388535,18777,9638,1065,1065,0.056718326,0.110500104,0.012010197,0.016888431,0.009840131,0.014180263,0.013308259,0.020468604,0.001511295,0.001524154
28056,Qualifications,5,NVQ or HND or HNC or equivalent,582,314,63,63,0.108247423,0.200636943,18777,9638,1566,1566,0.083399904,0.162481843,0.024847519,0.0381551,0.021746535,0.027948502,0.032832342,0.043477858,0.002119591,0.002334675
28056,Qualifications,6,"Other professional qualifications eg: nursing, teaching",582,314,92,92,0.158075601,0.292993631,18777,9638,2807,2807,0.149491399,0.291242996,0.008584202,0.001750634,0.006746397,0.010422008,5.89E-04,0.00291215,4.12E-04,6.02E-05
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),4,Retired,314,314,114,114,0.363057325,0.363057325,9638,9638,5250,5250,0.544718821,0.544718821,-0.181661496,-0.181661496,-0.192374367,-0.170948626,-0.192374367,-0.170948626,0.003372693,0.003372693
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,9638,9638,10,10,0.00103756,0.00103756,NA,NA,NA,NA,NA,NA,NA,NA
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),1,Employed/Self-employed and working with others at a workplace,314,314,98,98,0.312101911,0.312101911,9638,9638,1295,1295,0.134363976,0.134363976,0.177737935,0.177737935,0.167116013,0.188359857,0.167116013,0.188359857,0.012426269,0.012426269
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),10,None of the above,314,314,6,6,0.01910828,0.01910828,9638,9638,177,177,0.018364806,0.018364806,7.43E-04,7.43E-04,-1.38E-05,0.001500794,-1.38E-05,0.001500794,4.05E-04,4.05E-04
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),2,Employed/Self-employed and working alone at a workplace,314,314,12,12,0.038216561,0.038216561,9638,9638,236,236,0.024486408,0.024486408,0.013730153,0.013730153,0.010496871,0.016963434,0.010496871,0.016963434,0.005497609,0.005497609
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),3,Employed/Self-employed and working from home,314,314,60,60,0.191082803,0.191082803,9638,9638,1927,1927,0.199937746,0.199937746,-0.008854944,-0.008854944,-0.011457915,-0.006251972,-0.011457915,-0.006251972,4.45E-04,4.45E-04
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),8,Doing unpaid or voluntary work,314,314,5,5,0.015923567,0.015923567,9638,9638,207,207,0.021477485,0.021477485,-0.005553918,-0.005553918,-0.007618814,-0.003489022,-0.007618814,-0.003489022,0.002610768,0.002610768
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),5,Looking after home and/or family,314,314,7,7,0.022292994,0.022292994,9638,9638,233,233,0.02417514,0.02417514,-0.001882146,-0.001882146,-0.003086421,-6.78E-04,-0.003086421,-6.78E-04,7.82E-04,7.82E-04
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),6,Unable to work because of sickness or disability,314,314,8,8,0.025477707,0.025477707,9638,9638,160,160,0.016600955,0.016600955,0.008876752,0.008876752,0.006270606,0.011482899,0.006270606,0.011482899,0.005248957,0.005248957
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),9,Full or part-time student,NA,NA,NA,NA,NA,NA,9638,9638,28,28,0.002905167,0.002905167,NA,NA,NA,NA,NA,NA,NA,NA
28058,Employment situation changed since the end of June 2020,1,Yes,314,314,34,34,0.108280255,0.108280255,9638,9638,882,882,0.091512762,0.091512762,0.016767493,0.016767493,0.013199943,0.020335043,0.013199943,0.020335043,0.001825189,0.001825189
28058,Employment situation changed since the end of June 2020,0,No,314,314,279,279,0.888535032,0.888535032,9638,9638,8693,8693,0.901950612,0.901950612,-0.01341558,-0.01341558,-0.016612118,-0.010219043,-0.016612118,-0.010219043,1.49E-04,1.49E-04
28059,Employment situation between the start of July and mid-September,1,Employed/Self-employed and working with others at a workplace,34,34,17,17,0.5,0.5,882,882,335,335,0.379818594,0.379818594,0.120181406,0.120181406,0.090401004,0.149961808,0.090401004,0.149961808,0.010315365,0.010315365
28059,Employment situation between the start of July and mid-September,7,Unemployed,34,34,5,5,0.147058824,0.147058824,882,882,68,68,0.077097506,0.077097506,0.069961318,0.069961318,0.046600134,0.093322502,0.046600134,0.093322502,0.028614276,0.028614276
28060,Employment situation between mid-September and the end of October,1,Employed/Self-employed and working with others at a workplace,34,34,18,18,0.529411765,0.529411765,882,882,367,367,0.416099773,0.416099773,0.113311991,0.113311991,0.084282548,0.142341435,0.084282548,0.142341435,0.008896098,0.008896098
28060,Employment situation between mid-September and the end of October,2,Employed/Self-employed and working alone at a workplace,NA,NA,NA,NA,NA,NA,882,882,44,44,0.049886621,0.049886621,NA,NA,NA,NA,NA,NA,NA,NA
28060,Employment situation between mid-September and the end of October,7,Unemployed,34,34,5,5,0.147058824,0.147058824,882,882,73,73,0.08276644,0.08276644,0.064292384,0.064292384,0.041829516,0.086755251,0.041829516,0.086755251,0.024696361,0.024696361
28061,Employment situation between the start of November and the start of December,1,Employed/Self-employed and working with others at a workplace,34,34,18,18,0.529411765,0.529411765,882,882,322,322,0.365079365,0.365079365,0.1643324,0.1643324,0.130393815,0.198270985,0.130393815,0.198270985,0.014577267,0.014577267
28061,Employment situation between the start of November and the start of December,2,Employed/Self-employed and working alone at a workplace,NA,NA,NA,NA,NA,NA,882,882,49,49,0.055555556,0.055555556,NA,NA,NA,NA,NA,NA,NA,NA
28062,Designated key worker between 1st March 2020 and 30th November 2020,-2,Not applicable,314,314,16,16,0.050955414,0.050955414,9638,9638,697,697,0.072317908,0.072317908,-0.021362494,-0.021362494,-0.025379892,-0.017345097,-0.025379892,-0.017345097,0.002984891,0.002984891
28062,Designated key worker between 1st March 2020 and 30th November 2020,0,No,314,314,191,191,0.608280255,0.608280255,9638,9638,7475,7475,0.775575846,0.775575846,-0.167295591,-0.167295591,-0.177665993,-0.156925189,-0.177665993,-0.156925189,0.002175495,0.002175495
28062,Designated key worker between 1st March 2020 and 30th November 2020,1,Yes,314,314,106,106,0.337579618,0.337579618,9638,9638,1446,1446,0.150031127,0.150031127,0.187548491,0.187548491,0.176702645,0.198394337,0.176702645,0.198394337,0.011797406,0.011797406
28063,Keyworker occupation group,7,"Transport worker (air, water, road and rail)",106,106,5,5,0.047169811,0.047169811,1446,1446,92,92,0.06362379,0.06362379,-0.016453978,-0.016453978,-0.025404535,-0.007503422,-0.025404535,-0.007503422,0.006667906,0.006667906
