Table,test_concept_id,test_name,test_vocab,test_code,pt_count_test,per_total_pt
observation,40767407,Have your menstrual periods stopped permanently [PhenX],LOINC,64701-6,195561,0.62024377
measurement,3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,LOINC,3094-0,152523,0.483743899
measurement,3023103,Potassium [Moles/volume] in Serum or Plasma,LOINC,2823-3,149310,0.473553507
measurement,3014576,Chloride [Moles/volume] in Serum or Plasma,LOINC,2075-0,147887,0.469040302
measurement,3016723,Creatinine [Mass/volume] in Serum or Plasma,LOINC,2160-0,145759,0.46229111
measurement,3019550,Sodium [Moles/volume] in Serum or Plasma,LOINC,2951-2,145344,0.46097489
measurement,3004501,Glucose [Mass/volume] in Serum or Plasma,LOINC,2345-7,142201,0.451006511
measurement,3006906,Calcium [Mass/volume] in Serum or Plasma,LOINC,17861-6,141537,0.44890056
measurement,3009744,MCHC [Mass/volume] by Automated count,LOINC,786-4,141460,0.448656346
measurement,3020416,Erythrocytes [#/volume] in Blood by Automated count,LOINC,789-8,140691,0.446217376
measurement,3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,1920-8,140615,0.445976333
measurement,3024128,Bilirubin.total [Mass/volume] in Serum or Plasma,LOINC,1975-2,140172,0.444571309
measurement,3000963,Hemoglobin [Mass/volume] in Blood,LOINC,718-7,140102,0.444349296
measurement,3012030,MCH [Entitic mass] by Automated count,LOINC,785-6,136285,0.43224325
measurement,3035995,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,LOINC,6768-6,135949,0.431177588
measurement,3023599,MCV [Entitic volume] by Automated count,LOINC,787-2,135837,0.430822367
measurement,3020630,Protein [Mass/volume] in Serum or Plasma,LOINC,2885-2,135829,0.430796995
measurement,3000905,Leukocytes [#/volume] in Blood by Automated count,LOINC,6690-2,135206,0.42882108
measurement,3024929,Platelets [#/volume] in Blood by Automated count,LOINC,777-3,133528,0.423499114
measurement,3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",LOINC,2028-9,131807,0.418040768
measurement,3019897,Erythrocyte distribution width [Ratio] by Automated count,LOINC,788-0,131360,0.416623057
observation,40768856,Are you currently pregnant [PhenX],LOINC,66174-4,130497,0.413885955
measurement,3023314,Hematocrit [Volume Fraction] of Blood by Automated count,LOINC,4544-3,129600,0.411041018
observation,40766307,"Do you now smoke cigarettes every day, some days, or not at all [PhenX]",LOINC,63582-1,124508,0.394891166
observation,40766643,"In the past, have you ever made a serious attempt to quit smoking That is, have you stopped smoking for at least one day or longer because you were trying to quit [PLCO]",LOINC,63923-7,124424,0.394624751
measurement,3020891,Body temperature,LOINC,8310-5,124318,0.39428856
measurement,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,1742-6,122363,0.388088057
observation,4214956,History of clinical finding in subject,SNOMED,417662000,121065,0.383971303
observation,1586177,Cigar Smoking: Current Cigar Frequency,PPI,CigarSmoking_CurrentCigarFrequency,117576,0.372905546
measurement,3024561,Albumin [Mass/volume] in Serum or Plasma,LOINC,1751-7,116065,0.368113239
measurement,3004327,Lymphocytes [#/volume] in Blood by Automated count,LOINC,731-0,115812,0.367310821
measurement,3024171,Respiratory rate,LOINC,9279-1,115362,0.365883595
observation,1585796,Overall Health: Ovary Removal History,PPI,OverallHealth_OvaryRemovalHistory,112787,0.357716693
observation,40767339,Have you had a hysterectomy - womb removed [PhenX],LOINC,64633-1,112782,0.357700834
measurement,3013650,Neutrophils [#/volume] in Blood by Automated count,LOINC,751-8,112185,0.355807382
measurement,3033575,Monocytes [#/volume] in Blood by Automated count,LOINC,742-7,112022,0.355290409
measurement,3013869,Basophils/100 leukocytes in Blood by Automated count,LOINC,706-2,111477,0.35356188
measurement,3011948,Monocytes/100 leukocytes in Blood by Automated count,LOINC,5905-5,107835,0.342010866
measurement,3037511,Lymphocytes/100 leukocytes in Blood by Automated count,LOINC,736-9,105055,0.333193782
observation,1585789,Yes None: Menstrual Stopped Reason,PPI,YesNone_MenstrualStoppedReason,104103,0.330174407
measurement,3028615,Eosinophils [#/volume] in Blood by Automated count,LOINC,711-2,103655,0.328753524
measurement,3010457,Eosinophils/100 leukocytes in Blood by Automated count,LOINC,713-8,103089,0.326958392
measurement,3013429,Basophils [#/volume] in Blood by Automated count,LOINC,704-7,101533,0.322023362
measurement,3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,2085-9,100004,0.317173966
observation,43528662,Can't Afford Care: Dental Care,PPI,CantAffordCare_DentalCare,98538,0.312524382
observation,43528663,Can't Afford Care: Emergency Care,PPI,CantAffordCare_EmergencyCare,98538,0.312524382
observation,43528664,Can't Afford Care: Healthcare Provider,PPI,CantAffordCare_HealthcareProvider,98538,0.312524382
observation,43528665,Can't Afford Care: Bought Rx From Other Country,PPI,CantAffordCare_BoughtRxFromOtherCountry,98538,0.312524382
observation,43528666,Can't Afford Care: Alternative Therapies,PPI,CantAffordCare_AlternativeTherapies,98538,0.312524382
observation,43529899,Health Provider Race Religion: Delayed Or No Care,PPI,HealthProviderRaceReligion_DelayedOrNoCare,98538,0.312524382
observation,43529901,Health Provider Race Religion: How Important,PPI,HealthProviderRaceReligion_HowImportant,98538,0.312524382
observation,43529902,Health Provider Race Religion: How Often,PPI,HealthProviderRaceReligion_HowOften,98538,0.312524382
observation,43529903,Delayed Medical Care: Child Care,PPI,DelayedMedicalCare_ChildCare,98538,0.312524382
observation,43529904,Delayed Medical Care: Elderly Care,PPI,DelayedMedicalCare_ElderlyCare,98538,0.312524382
observation,43529905,Delayed Medical Care: Time Off Work,PPI,DelayedMedicalCare_TimeOffWork,98538,0.312524382
observation,43529906,Delayed Medical Care: Transportation,PPI,DelayedMedicalCare_Transportation,98538,0.312524382
observation,43530268,Delayed Medical Care: Rural Area,PPI,DelayedMedicalCare_RuralArea,98538,0.312524382
observation,43530408,Can't Afford Care: Eyeglasses,PPI,CantAffordCare_Eyeglasses,98538,0.312524382
observation,43530409,Can't Afford Care: Follow-up Care,PPI,CantAffordCare_FollowupCare,98538,0.312524382
observation,43530410,Can't Afford Care: Mental Health Counseling,PPI,CantAffordCare_MentalHealthCounseling,98538,0.312524382
observation,43530411,Can't Afford Care: Prescription Medicines,PPI,CantAffordCare_PrescriptionMedicines,98538,0.312524382
observation,43530412,Can't Afford Care: Specialist,PPI,CantAffordCare_Specialist,98538,0.312524382
observation,43530413,Can't Afford Care: Lower Cost Rx To Save Money,PPI,CantAffordCare_LowerCostRxToSaveMoney,98538,0.312524382
observation,43530415,Can't Afford Care: Delayed Filling Rx To Save Money,PPI,CantAffordCare_DelayedFillingRxToSaveMoney,98538,0.312524382
observation,43530416,Can't Afford Care: Skipped Med To Save Money,PPI,CantAffordCare_SkippedMedToSaveMoney,98538,0.312524382
observation,43530417,Can't Afford Care: Took Less Med To Save Money,PPI,CantAffordCare_TookLessMedToSaveMoney,98538,0.312524382
observation,43530418,Insurance: Insurance Accepted,PPI,Insurance_InsuranceAccepted,98538,0.312524382
observation,43530557,Can't Afford Care: Worried About Paying,PPI,CantAffordCare_WorriedAboutPaying,98538,0.312524382
observation,43530559,Insurance: Healthcare Coverage,PPI,Insurance_HealthcareCoverage,98538,0.312524382
observation,43530562,Health Advice: Place for Health Advice,PPI,HealthAdvice_PlaceforHealthAdvice,98538,0.312524382
observation,43530583,Delayed Medical Care: Can't Afford Co-pay,PPI,DelayedMedicalCare_CantAffordCoPay,98538,0.312524382
observation,43530584,Delayed Medical Care: Had To Pay Out Of Pocket,PPI,DelayedMedicalCare_HadToPayOutOfPocket,98538,0.312524382
observation,43530585,Delayed Medical Care: Deductible Too High,PPI,DelayedMedicalCare_DeductibleTooHigh,98538,0.312524382
observation,43530594,Delayed Medical Care: Nervous,PPI,DelayedMedicalCare_Nervous,98538,0.312524382
observation,43530595,Health Advice: Spoken To Professional,PPI,HealthAdvice_SpokenToProfessional,98538,0.312524382
measurement,3027114,Cholesterol [Mass/volume] in Serum or Plasma,LOINC,2093-3,98504,0.312416547
measurement,3043111,Platelet mean volume [Entitic volume] in Blood by Automated count,LOINC,32623-1,95889,0.304122779
measurement,3022192,Triglyceride [Mass/volume] in Serum or Plasma,LOINC,2571-8,95271,0.302162723
observation,43530593,Health Advice: What Kind Of Place,PPI,HealthAdvice_WhatKindOfPlace,94042,0.298264811
observation,43528660,Health Advice: Spoken To General Doctor,PPI,HealthAdvice_SpokenToGeneralDoctor,93690,0.297148403
observation,43528661,Health Advice: Spoken To Medical Specialist,PPI,HealthAdvice_SpokenToMedicalSpecialist,93690,0.297148403
observation,43530399,Health Advice: Spoken To Chiropractor,PPI,HealthAdvice_SpokenToChiropractor,93690,0.297148403
observation,43530400,Health Advice: Spoken To Dentist or Orthodontist,PPI,HealthAdvice_SpokenToDentist,93690,0.297148403
observation,43530402,Health Advice: Spoken To Mental Health Professional,PPI,HealthAdvice_SpokenToMentalHealthProfessional,93690,0.297148403
observation,43530403,Health Advice: Spoken To Eye Doctor,PPI,HealthAdvice_SpokenToEyeDoctor,93690,0.297148403
observation,43530404,Health Advice: Spoken To Nurse Practitioner,PPI,HealthAdvice_SpokenToNursePractitioner,93690,0.297148403
observation,43530405,"Health Advice: Spoken To Physical Therapist, Speech Therapist, Respiratory Therapist, Audiologist, or Occupational Therapist",PPI,HealthAdvice_SpokenToPhysicalTherapist,93690,0.297148403
observation,43530406,Health Advice: Spoken To Podiatrist,PPI,HealthAdvice_SpokenToPodiatrist,93690,0.297148403
observation,43530407,Health Advice: Spoken To Traditional Healer,PPI,HealthAdvice_SpokenToTraditionalHealer,93690,0.297148403
observation,43530437,Health Advice: Asked For Opinion,PPI,HealthAdvice_AskedForOpinion,93690,0.297148403
observation,43530438,Health Advice: Ease of Understanding,PPI,HealthAdvice_EaseofUnderstanding,93690,0.297148403
observation,43530439,Health Advice: Respected By Provider,PPI,HealthAdvice_RespectedByProvider,93690,0.297148403
observation,43528652,Family History: Family Medical History Aware,PPI,FamilyHistory_FamilyMedicalHistoryAware,91695,0.290821035
observation,702783,Diagnosed Health Condition: Sibling Endocrine Condition,PPI,DiagnosedHealthCondition_SiblingEndocrineCondition,89453,0.28371028
observation,702788,Diagnosed Health Condition: Sibling Digestive Condition,PPI,DiagnosedHealthCondition_SiblingDigestiveCondition,89453,0.28371028
observation,43528486,Diagnosed Health Condition: Father Skeletal Muscular Condition,PPI,DiagnosedHealthCondition_FatherSkelMuscCondition,89453,0.28371028
observation,43528487,Diagnosed Health Condition: Mother Skeletal Muscular Condition,PPI,DiagnosedHealthCondition_MotherSkelMuscCondition,89453,0.28371028
observation,43528489,Diagnosed Health Condition: Father Nervous Condition,PPI,DiagnosedHealthCondition_FatherNervousCondition,89453,0.28371028
observation,43528490,Diagnosed Health Condition: Mother Nervous Condition,PPI,DiagnosedHealthCondition_MotherNervousCondition,89453,0.28371028
observation,43528509,Diagnosed Health Condition: Daughter Cancer Condition,PPI,DiagnosedHealthCondition_DaughterCancerCondition,89453,0.28371028
observation,43528510,Diagnosed Health Condition: Father Cancer Condition,PPI,DiagnosedHealthCondition_FatherCancerCondition,89453,0.28371028
observation,43528511,Diagnosed Health Condition: Grandparent Cancer Condition,PPI,DiagnosedHealthCondition_GrandparentCancer,89453,0.28371028
observation,43528512,Diagnosed Health Condition: Mother Cancer Condition,PPI,DiagnosedHealthCondition_MotherCancerCondition,89453,0.28371028
observation,43528513,Diagnosed Health Condition: Sibling Cancer Condition,PPI,DiagnosedHealthCondition_SiblingCancerCondition,89453,0.28371028
observation,43528514,Diagnosed Health Condition: Son Cancer Condition,PPI,DiagnosedHealthCondition_SonCancerCondition,89453,0.28371028
observation,43528558,Diagnosed Health Condition: Daughter Circulatory Condition,PPI,DiagnosedHealthCondition_DaughterCircCondition,89453,0.28371028
observation,43528559,Diagnosed Health Condition: Father Circulatory Condition,PPI,DiagnosedHealthCondition_FatherCircCondition,89453,0.28371028
observation,43528560,Diagnosed Health Condition: Grandparent Circulatory Condition,PPI,DiagnosedHealthCondition_GrandparentCircCondition,89453,0.28371028
observation,43528561,Diagnosed Health Condition: Sibling Circulatory Condition,PPI,DiagnosedHealthCondition_SiblingCircCondition,89453,0.28371028
observation,43528562,Diagnosed Health Condition: Son Circulatory Condition,PPI,DiagnosedHealthCondition_SonCirculatoryCondition,89453,0.28371028
observation,43528628,Diagnosed Health Condition: Daughter Digestive Condition,PPI,DiagnosedHealthCondition_DaughterDigestive,89453,0.28371028
observation,43528629,Diagnosed Health Condition: Father Digestive Condition,PPI,DiagnosedHealthCondition_FatherDigestiveCondition,89453,0.28371028
observation,43528630,Diagnosed Health Condition: Grandparent Digestive Condition,PPI,DiagnosedHealthCondition_GrandparentDigestive,89453,0.28371028
observation,43528631,Diagnosed Health Condition: Mother Digestive Condition,PPI,DiagnosedHealthCondition_MotherDigestiveCondition,89453,0.28371028
observation,43528633,Diagnosed Health Condition: Son Digestive Condition,PPI,DiagnosedHealthCondition_SonDigestiveCondition,89453,0.28371028
observation,43528674,Diagnosed Health Condition: Daughter Endocrine Condition,PPI,DiagnosedHealthCondition_DaughterEndoCondition,89453,0.28371028
observation,43528675,Diagnosed Health Condition: Father Endocrine Condition,PPI,DiagnosedHealthCondition_FatherEndocrineCondition,89453,0.28371028
observation,43528676,Diagnosed Health Condition: Grandparent Endocrine Condition,PPI,DiagnosedHealthCondition_GrandparentEndocrine,89453,0.28371028
observation,43528677,Diagnosed Health Condition: Son Endocrine Condition,PPI,DiagnosedHealthCondition_SonEndocrineCondition,89453,0.28371028
observation,43528917,Diagnosed Health Condition: Mother Circulatory Condition,PPI,DiagnosedHealthCondition_MotherCircCondition,89453,0.28371028
observation,43528944,Diagnosed Health Condition: Mother Endocrine Condition,PPI,DiagnosedHealthCondition_MotherEndocrineCondition,89453,0.28371028
observation,43529152,Diagnosed Health Condition: Daughter Kidney Condition,PPI,DiagnosedHealthCondition_DaughterKidneyCondition,89453,0.28371028
observation,43529153,Diagnosed Health Condition: Father Kidney Condition,PPI,DiagnosedHealthCondition_FatherKidneyCondition,89453,0.28371028
observation,43529154,Diagnosed Health Condition: Grandparent Kidney Condition,PPI,DiagnosedHealthCondition_GrandparentKidney,89453,0.28371028
observation,43529155,Diagnosed Health Condition: Mother Kidney Condition,PPI,DiagnosedHealthCondition_MotherKidneyCondition,89453,0.28371028
observation,43529156,Diagnosed Health Condition: Sibling Kidney Condition,PPI,DiagnosedHealthCondition_SiblingKidneyCondition,89453,0.28371028
observation,43529157,Diagnosed Health Condition: Son Kidney Condition,PPI,DiagnosedHealthCondition_SonKidneyCondition,89453,0.28371028
observation,43529191,Diagnosed Health Condition: Mother Respiratory Condition,PPI,DiagnosedHealthCondition_MotherRespCondition,89453,0.28371028
observation,43529213,Diagnosed Health Condition: Daughter Mental Condition,PPI,DiagnosedHealthCondition_DaughterMentalCondition,89453,0.28371028
observation,43529214,Diagnosed Health Condition: Grandparent Mental Condition,PPI,DiagnosedHealthCondition_GrandparentMental,89453,0.28371028
observation,43529215,Diagnosed Health Condition: Sibling Mental Condition,PPI,DiagnosedHealthCondition_SiblingMentalCondition,89453,0.28371028
observation,43529216,Diagnosed Health Condition: Son Mental Condition,PPI,DiagnosedHealthCondition_SonMentalCondition,89453,0.28371028
observation,43529218,Diagnosed Health Condition: Father Mental Condition,PPI,DiagnosedHealthCondition_FatherMentalCondition,89453,0.28371028
observation,43529268,Diagnosed Health Condition: Daughter Nervous Condition,PPI,DiagnosedHealthCondition_DaughterNervousCondition,89453,0.28371028
observation,43529269,Diagnosed Health Condition: Grandparent Nervous Condition,PPI,DiagnosedHealthCondition_GrandparentNervous,89453,0.28371028
observation,43529270,Diagnosed Health Condition: Sibling Nervous Condition,PPI,DiagnosedHealthCondition_SiblingNervousCondition,89453,0.28371028
observation,43529271,Diagnosed Health Condition: Son Nervous Condition,PPI,DiagnosedHealthCondition_SonNervousCondition,89453,0.28371028
observation,43529632,Diagnosed Health Condition: Daughter Other Health Condition,PPI,DiagnosedHealthCondition_DaughterOtherHlth,89453,0.28371028
observation,43529633,Diagnosed Health Condition: Father Other Health Condition,PPI,DiagnosedHealthCondition_FatherOtherHlthCondition,89453,0.28371028
observation,43529634,Diagnosed Health Condition: Grandparent Other Health Condition,PPI,DiagnosedHealthCondition_GrandparentOtherHealth,89453,0.28371028
observation,43529635,Diagnosed Health Condition: Mother Other Health Condition,PPI,DiagnosedHealthCondition_MotherOtherHealth,89453,0.28371028
observation,43529636,Diagnosed Health Condition: Sibling Other Health Condition,PPI,DiagnosedHealthCondition_SiblingOtherHlthCondition,89453,0.28371028
observation,43529637,Diagnosed Health Condition: Son Other Health Condition,PPI,DiagnosedHealthCondition_SonOtherHealthCondition,89453,0.28371028
observation,43529762,Diagnosed Health Condition: Daughter Respiratory Condition,PPI,DiagnosedHealthCondition_DaughterRespCondition,89453,0.28371028
observation,43529763,Diagnosed Health Condition: Father Respiratory Condition,PPI,DiagnosedHealthCondition_FatherRespCondition,89453,0.28371028
observation,43529764,Diagnosed Health Condition: Grandparent Respiratory Condition,PPI,DiagnosedHealthCondition_GrandparentRespCondition,89453,0.28371028
observation,43529765,Diagnosed Health Condition: Sibling Respiratory Condition,PPI,DiagnosedHealthCondition_SiblingRespCondition,89453,0.28371028
observation,43529766,Diagnosed Health Condition: Son Respiratory Condition,PPI,DiagnosedHealthCondition_SonRespiratoryCondition,89453,0.28371028
observation,43529811,Diagnosed Health Condition: Daughter Skeletal Muscular Condition,PPI,DiagnosedHealthCondition_DaughterSkelMuscCondition,89453,0.28371028
observation,43529812,Diagnosed Health Condition: Grandparent Skeletal Muscular Condition,PPI,DiagnosedHealthCondition_GrandparentSkelMusc,89453,0.28371028
observation,43529813,Diagnosed Health Condition: Sibling Skeletal Muscular Condition,PPI,DiagnosedHealthCondition_SiblingSkelMuscCondition,89453,0.28371028
observation,43529814,Diagnosed Health Condition: Son Skeletal Muscular Condition,PPI,DiagnosedHealthCondition_SonSkelMuscCondition,89453,0.28371028
observation,43529960,Diagnosed Health Condition: Daughter Vision Condition,PPI,DiagnosedHealthCondition_DaughterVisionCondition,89453,0.28371028
observation,43529961,Diagnosed Health Condition: Father Vision Condition,PPI,DiagnosedHealthCondition_FatherVisionCondition,89453,0.28371028
observation,43529962,Diagnosed Health Condition: Grandparent Vision Condition,PPI,DiagnosedHealthCondition_GrandparentVision,89453,0.28371028
observation,43529963,Diagnosed Health Condition: Mother Vision Condition,PPI,DiagnosedHealthCondition_MotherVisionCondition,89453,0.28371028
observation,43529964,Diagnosed Health Condition: Sibling Vision Condition,PPI,DiagnosedHealthCondition_SiblingVisionCondition,89453,0.28371028
observation,43529965,Diagnosed Health Condition: Son Vision Condition,PPI,DiagnosedHealthCondition_SonVisionCondition,89453,0.28371028
observation,43530563,Diagnosed Health Condition: Mother Mental Condition,PPI,DiagnosedHealthCondition_MotherMentalCondition,89453,0.28371028
observation,1384390,Digestive: Digestive System Conditions,PPI,Digestive_DigestiveSystemConditions,89259,0.283094987
observation,1384430,Other: Other Conditions,PPI,Other_OtherConditions,89259,0.283094987
observation,1384487,Kidney: Kidney Conditions,PPI,Kidney_KidneyConditions,89259,0.283094987
observation,1384495,Mental Health: Mental Health Condition,PPI,MentalHealth_MentalHealthCondition,89259,0.283094987
observation,1384526,Nervous System: Nervous System Condition,PPI,NervousSystem_NervousSystemCondition,89259,0.283094987
observation,1384592,Respiratory: Respiratory Conditions,PPI,Respiratory_RespiratoryConditions,89259,0.283094987
observation,43528757,Skeletal Muscular: Skeletal Muscular Conditions,PPI,SkeletalMuscular_SkeletalMuscularConditions,89259,0.283094987
observation,43528758,Endocrine: Endocrine Conditions,PPI,Endocrine_EndocrineConditions,89259,0.283094987
observation,43528759,Hearing Vision: Hearing Vision Conditions,PPI,HearingVision_HearingVisionConditions,89259,0.283094987
observation,43528760,Cancer: Cancer Conditions,PPI,Cancer_CancerConditions,89259,0.283094987
observation,1384662,Infectious Diseases: Infectious Disease Condition,PPI,InfectiousDiseases_InfectiousDiseaseCondition,89250,0.283066442
observation,43529655,Diagnosed Health Condition: Daughter No Selection,PPI,DiagnosedHealthCondition_DaughterNoSelection,89077,0.282517753
observation,43529656,Diagnosed Health Condition: Father No Selection,PPI,DiagnosedHealthCondition_FatherNoSelection,89077,0.282517753
observation,43529657,Diagnosed Health Condition: Grandparent No Selection,PPI,DiagnosedHealthCondition_GrandparentNoSelection,89077,0.282517753
observation,43529658,Diagnosed Health Condition: Mother No Selection,PPI,DiagnosedHealthCondition_MotherNoSelection,89077,0.282517753
observation,43529659,Diagnosed Health Condition: Sibling No Selection,PPI,DiagnosedHealthCondition_SiblingNoSelection,89077,0.282517753
observation,43529660,Diagnosed Health Condition: Son No Selection,PPI,DiagnosedHealthCondition_SonNoSelection,89077,0.282517753
observation,43530588,Health Advice: General Doctor Visits,PPI,HealthAdvice_GeneralDoctorVisits,83519,0.264889929
measurement,3000348,Leukocyte esterase [Presence] in Urine by Test strip,LOINC,5799-2,83383,0.26445859
measurement,3021601,Nitrite [Presence] in Urine by Test strip,LOINC,5802-4,83009,0.263272407
measurement,3008342,Neutrophils/100 leukocytes in Blood by Automated count,LOINC,770-8,82518,0.261715145
measurement,3018834,Bilirubin.total [Presence] in Urine by Test strip,LOINC,5770-3,81257,0.257715741
measurement,3022621,pH of Urine by Test strip,LOINC,5803-2,80499,0.255311659
