question_concept_id,responce_concpet_id,Question,Response removed due to invalid value,q_cnt_general,a_cnt_general,ev_prop_general,q_pt_general,a_pt_general,pt_prop_general,q_cnt_covid,a_cnt_covid,ev_prop_covid,q_pt_covid,a_pt_covid,pt_prop_covid,ev_covid_to_genral_prop_diff,pt_covid_to_genral_prop_diff,ev_lower_confidence_interval,ev_upper_confidence_interval,pt_lower_confidence_interval,pt_upper_confidence_interval,p-value
713888,1310118,When did your COVID-19 symptoms begin?,September or October 2020,24948,2487,0.09968735,16701,1873,0.112148973,1827,361,0.19759168,1241,241,0.194198227,0.097904331,0.082049254,0.079271406,0.116537254,0.059526025,0.104572483,5.37E-39
1310132,1310086,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",I do not know yet,124294,18374,0.147826926,71768,14626,0.203795563,2648,573,0.216389728,1598,455,0.284730914,0.068562802,0.08093535,0.052755146,0.084370458,0.058613499,0.103257203,1.52E-22
1332795,45882429,How often did you use prescription opioids?,1-3 times per month,4060,503,0.123891626,2983,434,0.145491116,120,26,0.216666667,93,21,0.225806452,0.092775041,0.080315335,0.018371584,0.167178498,-0.005598176,0.166228848,0.004062269
1333235,1333230,Which of the following symptoms did you have? (select all that apply).,Difficulty breathing or shortness of breath,59282,2668,0.045005229,9120,2377,0.260635965,5902,288,0.048797018,788,264,0.335025381,0.003791789,0.074389416,-0.001952422,0.009536,0.040224711,0.108554121,0.192796319
1333297,45877994,Do you personally know someone who has died of COVID-19?,Yes,187710,49444,0.263406318,87055,29935,0.343863075,3865,1304,0.337386805,1931,806,0.417400311,0.073980486,0.073537236,0.058941672,0.089019302,0.051317341,0.095757131,7.15E-25
1332763,1333304,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, suspected COVID-19",270360,22354,0.082682349,99713,16402,0.164492092,5630,673,0.119538188,2220,523,0.235585586,0.036855839,0.071093493,0.028318217,0.045393461,0.053291487,0.088895501,5.44E-23
1333013,1332727,How often did you use cannabis?,Only a few times,11770,3181,0.270263381,8045,2725,0.338719702,183,65,0.355191257,132,54,0.409090909,0.084927875,0.070371207,0.015127599,0.154728153,-0.014138745,0.154881159,0.013155865
1333105,45881677,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Every day,244819,20685,0.084490991,96397,13270,0.137659886,4939,692,0.140109334,2133,443,0.207688701,0.055618343,0.070028816,0.045875666,0.06536102,0.052676961,0.087380669,2.30E-43
713888,713887,When did your COVID-19 symptoms begin?,"Yes, but not at home",24948,884,0.035433702,16701,884,0.052930962,1827,149,0.081554461,1241,149,0.120064464,0.046120759,0.067133502,0.03336322,0.058878298,0.048733446,0.085533558,9.46E-23
1310140,45877994,"Do you have a child(ren) that are currently enrolled in childcare centers, schools, or colleges?",Yes,147042,26092,0.1774459,78282,16030,0.204772489,3049,734,0.240734667,1727,469,0.271569195,0.063288767,0.066796706,0.047988408,0.078589126,0.045630432,0.08796298,2.17E-19
1333235,1332774,Which of the following symptoms did you have? (select all that apply).,Cough,59282,4160,0.070173071,9120,3722,0.408114035,5902,414,0.070145713,788,373,0.473350254,-2.74E-05,0.065236219,-0.006859748,0.006805032,0.028945427,0.101527011,1
1332756,9448,How long has it been since you last used an electronic nicotine product?,year,3105,1925,0.619967794,2479,1583,0.638563937,44,30,0.681818182,37,26,0.702702703,0.061850388,0.064138766,-0.076828436,0.200529212,-0.084345317,0.212622849,0.49447046
1333221,45884455,Choose the answer that is true for you in the past month. I am an outgoing person.,Often,117622,41128,0.349662478,69144,27512,0.39789425,2340,960,0.41025641,1448,667,0.460635359,0.060593932,0.062741109,0.040478831,0.080709033,0.036809767,0.088672451,1.36E-09
1332734,1332864,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",A few days (1-2 days),244819,20351,0.083126718,96397,15613,0.161965621,4939,618,0.125126544,2133,470,0.220346929,0.041999826,0.058381308,0.032707922,0.05129173,0.040638582,0.076124034,7.63E-26
1333104,1333199,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Contacting a healthcare provider,918790,33101,0.036026731,99713,22133,0.221967045,17874,896,0.050128679,2220,611,0.275225225,0.014101948,0.05325818,0.010880344,0.017323552,0.034501198,0.072015162,2.19E-23
1333294,1333146,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Not enough money to pay for food,281888,11376,0.040356454,99713,7581,0.076028201,5966,384,0.064364733,2220,285,0.128378378,0.02400828,0.052350177,0.017738975,0.030277583,0.038338323,0.066362031,2.53E-20
1333105,1333306,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Most days (3-4 days),244819,27767,0.113418485,96397,18181,0.188605455,4939,778,0.157521766,2133,512,0.240037506,0.044103281,0.051432051,0.033866287,0.054340275,0.033139166,0.069724936,6.43E-22
1333235,1333129,Which of the following symptoms did you have? (select all that apply).,Unusual chest pain or tightness in your chest,59282,1934,0.032623731,9120,1755,0.192434211,5902,209,0.035411725,788,191,0.242385787,0.002787994,0.049951576,-0.002139219,0.007715207,0.018956924,0.080946228,0.268189537
1310142,45877994,Do you plan to get the flu vaccine this season?,Yes,84116,15077,0.179240573,57514,13079,0.227405501,1704,376,0.220657277,1211,334,0.27580512,0.041416704,0.048399618,0.021557238,0.06127617,0.022996332,0.073802906,1.22E-05
1333294,1333223,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Not enough money to pay rent,281888,10042,0.035624078,99713,6835,0.068546729,5966,353,0.059168622,2220,259,0.116666667,0.023544545,0.048119938,0.017518587,0.029570501,0.034674279,0.061565597,7.19E-22
1332800,45877994,Did your use include smoking cannabis?,Yes,11770,7708,0.654885302,8045,5408,0.672218769,183,131,0.715846995,132,95,0.71969697,0.060961693,0.0474782,-0.00494478,0.126868166,-0.029826682,0.124783084,0.100165489
1333235,1333255,Which of the following symptoms did you have? (select all that apply).,Dizziness or light-headedness,59282,2496,0.042103843,9120,2238,0.245394737,5902,249,0.042189088,788,229,0.290609137,8.52E-05,0.0452144,-0.005291997,0.005462487,0.0123055,0.0781233,1
715721,903096,Enter the number of years,PMI: Skip,18036,1636,0.090707474,12712,1463,0.115088106,413,51,0.123486683,302,48,0.158940397,0.032779209,0.043852292,0.000774139,0.064784279,0.002244924,0.085459658,0.027892679
1333235,45884747,Which of the following symptoms did you have? (select all that apply).,Diarrhea,59282,2645,0.044617253,9120,2390,0.262061404,5902,258,0.043713995,788,241,0.305837563,-0.000903258,0.04377616,-0.006377811,0.004571295,0.010363402,0.077188916,0.773559901
903634,903096,How much time did you usually spend doing moderate physical activities on one of those days (hours per day)?,PMI: Skip,26649,11123,0.41738902,26649,11123,0.41738902,475,219,0.461052632,475,219,0.461052632,0.043663611,0.043663611,-0.001553715,0.088880939,-0.001553715,0.088880939,0.062127422
1332801,1332798,Do you think you have used more or less cannabis in the past month than you used to?,Less often than usual,11770,2011,0.170858114,8045,1784,0.221752641,183,36,0.196721311,132,35,0.265151515,0.025863198,0.043398874,-0.032131358,0.083857752,-0.032448419,0.119246167,0.410680847
1310053,45883772,"Thinking about your current social habits, in the last 5 days: I have visited nursing homes or long-term care facilities (outside of work duties). How often did you wear a face mask or face covering?",All of the time,2057,1268,0.616431697,1732,1082,0.624711316,56,37,0.660714286,48,32,0.666666667,0.044282589,0.04195535,-0.081491494,0.170056672,-0.093338846,0.177249548,0.593723157
1310133,1310090,"If you know it, what is your blood group?",I don't know my blood group for certain,147042,34489,0.234552033,78282,20663,0.263955954,3049,835,0.273860282,1727,527,0.305153445,0.039308249,0.041197491,0.02333212,0.055284378,0.019261805,0.063133177,4.59E-07
1310136,1310130,"In the past month, did you have a child(ren) enrolled in childcare centers, schools, or colleges that are learning remotely because of COVID-19?","Yes, at home part of the time",26018,6068,0.233223153,16011,4550,0.284179627,730,191,0.261643836,468,151,0.322649573,0.028420682,0.038469946,-0.00387487,0.060716236,-0.004456644,0.081396536,0.081072555
1333289,45878245,"Think about the time you spent walking in the last 7 days. During the last 7 days, did you walk for at least 10 minutes at a time?",No,117622,21255,0.18070599,69144,15933,0.230432142,2340,492,0.21025641,1448,389,0.268646409,0.02955042,0.038214267,0.012894224,0.046206616,0.015168874,0.06125966,0.000265331
1332769,1333302,Who do you know who has died? Check all that apply.,Co-worker,56745,4540,0.080007049,29890,3244,0.108531281,1581,156,0.098671727,805,118,0.146583851,0.018664678,0.03805257,0.003796068,0.033533288,0.013366594,0.062738546,0.008204832
1332769,1332766,Who do you know who has died? Check all that apply.,Friend,56745,22004,0.387769848,29890,14814,0.495617263,1581,652,0.412397217,805,429,0.532919255,0.024627369,0.037301991,3.33E-05,0.049221397,0.002374126,0.072229858,0.050520228
1332748,1333148,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",None of the days (0 days),264664,35295,0.133357767,99713,23448,0.235154895,5389,909,0.168676934,2220,603,0.271621622,0.035319168,0.036466727,0.02523777,0.045400564,0.01777784,0.055155614,5.77E-14
1310132,45877240,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Very unlikely,124294,6571,0.052866591,71768,4861,0.067732137,2648,210,0.079305136,1598,166,0.10387985,0.026438545,0.036147713,0.016071687,0.036805403,0.021075963,0.051219463,2.80E-09
1310132,45877241,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Unlikely,124294,3926,0.0315864,71768,3450,0.048071564,2648,154,0.0581571,1598,134,0.083854819,0.0265707,0.035783255,0.017603684,0.035537716,0.022103857,0.049462653,2.63E-14
1333019,1332798,Do you think you have used more or less prescription opioids in the past month than you used to?,Less often than usual,4060,857,0.211083744,2983,760,0.25477707,120,31,0.258333333,93,27,0.290322581,0.047249589,0.035545511,-0.032066261,0.126565439,-0.058022674,0.129113696,0.256844627
1332752,1332727,How often did you use prescription sedatives or prescription sleeping pills?,Only a few times,9192,1891,0.205722367,6487,1626,0.250655156,199,43,0.216080402,140,40,0.285714286,0.010358035,0.035059129,-0.047418723,0.068134793,-0.04051217,0.11063043,0.788014335
1333102,45883539,"In the past month, have recommendations for socially distancing caused stress for you?",A lot,264664,19450,0.073489405,99713,14003,0.140433043,5389,506,0.093894971,2220,386,0.173873874,0.020405566,0.033440831,0.012554756,0.028256376,0.017528376,0.049353286,1.68E-08
1332826,1332799,Do you think you have used more or less prescription sedatives or prescription sleeping pills in the past month than you used to?,More often than usual,9192,2130,0.231723238,6487,1733,0.267149684,199,56,0.281407035,140,42,0.3,0.049683798,0.032850316,-0.013387286,0.11275488,-0.043818618,0.10951925,0.119697908
1333235,1333171,Which of the following symptoms did you have? (select all that apply).,"Confusion, disorientation, or drowsiness",59282,994,0.016767316,9120,916,0.100438596,5902,112,0.018976618,788,104,0.131979695,0.002209303,0.031541099,-0.001421855,0.005840459,0.007117012,0.055965186,0.229962345
1310067,1310046,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people. What was the purpose of the large gathering?","Family gathering (wedding, graduation, funeral, etc.)",5572,573,0.102835607,4106,550,0.133950317,183,26,0.142076503,133,22,0.165413534,0.039240896,0.031463217,-0.011967366,0.090449158,-0.032536057,0.095462491,0.112401729
1332745,45877994,"Do you regularly take immunosuppressant medications (including steroids, methotrexate, biologic agents)?",Yes,117622,8781,0.074654401,69144,5646,0.081655675,2340,253,0.108119658,1448,163,0.112569061,0.033465257,0.030913386,0.020794028,0.046136486,0.014506445,0.047320327,1.59E-09
713888,1310108,When did your COVID-19 symptoms begin?,July or August 2020,24948,1301,0.052148469,16701,956,0.057242081,1827,161,0.088122605,1241,109,0.087832393,0.035974137,0.030590312,0.02268617,0.049262102,0.014452965,0.046727659,9.21E-11
1333235,1333128,Which of the following symptoms did you have? (select all that apply).,"Unusual eye soreness or discomfort (eg, light sensitivity or excessive tears)",59282,1445,0.024375021,9120,1297,0.142214912,5902,148,0.025076245,788,136,0.172588832,0.000701224,0.03037392,-0.003476478,0.004878926,0.003032823,0.057715017,0.77294589
1332866,45879397,"In the past 7 days, other things kept making me think about COVID-19.",Extremely,117622,6288,0.053459387,69144,5446,0.078763161,2340,183,0.078205128,1448,157,0.108425414,0.024745741,0.029662253,0.0137914,0.035700082,0.013522572,0.045801934,1.98E-07
1310052,903096,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home. How often did you wear a face mask or face covering?",PMI: Skip,48283,12017,0.248886772,31451,9804,0.311722998,1285,363,0.282490272,871,297,0.340987371,0.033603501,0.029264373,0.008687521,0.058519479,-0.00263059,0.061159336,0.006651538
1332750,1332850,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,An extreme amount,117622,12127,0.103101461,69144,9682,0.140026611,2340,292,0.124786325,1448,243,0.16781768,0.021684864,0.027791068,0.008182558,0.03518717,0.008369781,0.047212357,0.000737407
1333011,1333137,"In the past month: Did you smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?","Not currently, but in the past",117622,19779,0.168157318,69144,13960,0.201897489,2340,456,0.194871795,1448,332,0.229281768,0.026714477,0.027384279,0.010523805,0.042905149,0.005526607,0.049241951,0.000700804
1333024,1333125,Please select the response that best reflects your behavior in the past month. I look for creative ways to alter difficult situations.,Does not describe me at all,117622,3782,0.032153849,69144,3311,0.047885572,2340,120,0.051282051,1448,107,0.073895028,0.019128203,0.026009455,0.010134526,0.028121878,0.012441632,0.03957728,3.29E-07
1333294,1333145,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Not enough money to pay for gas,281888,6852,0.024307526,99713,4916,0.049301495,5966,221,0.037043245,2220,166,0.074774775,0.012735719,0.025473279,0.007909593,0.017561845,0.014449672,0.036496888,4.22E-10
1333301,1333306,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Most days (3-4 days),264664,15304,0.05782426,99713,12105,0.121398413,5389,406,0.075338653,2220,326,0.146846847,0.017514393,0.025448433,0.010411669,0.024617117,0.010585832,0.040311036,6.36E-08
1332847,1333240,"In the past month, have the following behaviors increased in your household? Select all that apply.",Snapping at or yelling at family members,303115,51041,0.168388235,99713,29937,0.300231665,6350,1227,0.193228346,2220,722,0.325225225,0.024840111,0.02499356,0.015037984,0.034642238,0.005300064,0.044687056,1.87E-07
1310142,45876636,Do you plan to get the flu vaccine this season?,Don't know,84116,4806,0.057135384,57514,3846,0.066870675,1704,135,0.079225352,1211,111,0.091659785,0.022089968,0.02478911,0.009170444,0.035009492,0.008410025,0.041168195,0.000131801
1333296,45884554,"In the past 7 days, I tried not to think about COVID-19.",Moderately,117622,25011,0.212638792,69144,20690,0.299230591,2340,540,0.230769231,1448,469,0.323895028,0.018130439,0.024664436,0.000900089,0.035360789,0.000320862,0.049008012,0.036114722
1333303,45879397,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",Extremely,117622,4719,0.040120046,69144,4084,0.059065139,2340,137,0.058547009,1448,121,0.083563536,0.018426963,0.024498396,0.008848644,0.028005282,0.010136931,0.038859863,9.62E-06
1333292,45879397,"In the past 7 days, I felt watchful or on-guard.",Extremely,117622,8503,0.072290898,69144,7072,0.102279301,2340,218,0.093162393,1448,183,0.126381215,0.020871495,0.024101914,0.009002123,0.032740867,0.006838954,0.041364874,0.000138826
1333295,45884456,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",Quite a bit,117622,6669,0.056698577,69144,5847,0.084562652,2340,178,0.076068376,1448,157,0.108425414,0.019369799,0.023862763,0.008547364,0.030192234,0.007714732,0.040010792,7.67E-05
1333235,1333010,Which of the following symptoms did you have? (select all that apply).,Unusually hoarse voice,59282,1438,0.024256941,9120,1324,0.145175439,5902,145,0.024567943,788,133,0.168781726,0.000311002,0.023606287,-0.003828019,0.004450023,-0.003526727,0.050739301,0.917419055
903629,903096,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,PMI: Skip,71891,18518,0.257584399,46862,16900,0.360633349,1222,345,0.282324059,839,322,0.383790226,0.02473966,0.023156877,-0.00069973,0.05017905,-0.010035327,0.056349081,0.053974111
1310062,903096,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people. How often did you wear a face mask or face covering?",PMI: Skip,4970,1142,0.229778672,4106,1017,0.247686313,153,36,0.235294118,133,36,0.270676692,0.005515446,0.022990379,-0.062707858,0.07373875,-0.053665858,0.099646616,0.950437205
903641,903096,How much time did you usually spend sitting on one of those days (hours per day)?,PMI: Skip,92405,3943,0.042670851,57285,3738,0.065252684,1670,100,0.05988024,1100,97,0.088181818,0.017209388,0.022929134,0.005755514,0.028663264,0.006050563,0.039807705,0.000735591
1333121,45878994,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",More than half the days,117622,9272,0.078828791,69144,8014,0.115903043,2340,221,0.094444444,1448,201,0.138812155,0.015615654,0.022909112,0.003666884,0.027564422,0.004941519,0.040876705,0.006291744
1310138,45879534,"Compared with when they were in person at school or a childcare center, how much time are you spending on care and supervision of your children?",About the same,18425,5501,0.298561737,12021,4137,0.344147741,519,168,0.323699422,357,131,0.366946779,0.025137685,0.022799037,-0.015654706,0.065930076,-0.027913217,0.073511293,0.236124868
1333291,1333134,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Had serious financial problems,362991,9918,0.027322991,99713,6809,0.068285981,7673,294,0.038316174,2220,202,0.090990991,0.010993182,0.02270501,0.006665471,0.015320895,0.010639596,0.034770424,7.18E-09
903635,903096,How much time did you usually spend walking on one of those days (hours per day)?,PMI: Skip,35483,13036,0.3673872,35483,13036,0.3673872,695,271,0.389928058,695,271,0.389928058,0.022540858,0.022540858,-0.01406534,0.059147056,-0.01406534,0.059147056,0.237716122
1332748,1332864,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",A few days (1-2 days),264664,68549,0.259003869,99713,44735,0.44863759,5389,1575,0.292262015,2220,1046,0.471171171,0.033258146,0.022533581,0.021001246,0.045515046,0.001541005,0.043526157,3.87E-08
1332847,1333126,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with family members or loved ones,303115,50640,0.167065305,99713,31149,0.312386549,6350,1180,0.185826772,2220,742,0.334234234,0.018761466,0.021847685,0.009102782,0.028420152,0.00201529,0.04168008,7.95E-05
1310134,1332864,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people.",A few days (1-2 days),127197,4584,0.036038586,71679,3817,0.053251301,2599,135,0.051943055,1577,118,0.074825618,0.015904469,0.021574317,0.007311691,0.024497247,0.008484883,0.034663751,2.28E-05
1333017,1333169,"In the past month, have you used any of the following drugs? Select all that apply.","Prescription opioids (for example, fentanyl, oxycodone [OxyContin, Percocet], hydrocodone [Vicodin], methadone, buprenorphine, etc)",123878,4060,0.032774181,69144,2983,0.043141849,2468,120,0.048622366,1448,93,0.064226519,0.015848185,0.02108467,0.007305102,0.024391268,0.008367,0.03380234,1.69E-05
1333298,1332783,"In your day-to-day life, how often did this happen to you during the past month? You are called names or insulted.",A few times a month,117622,7552,0.064205676,69144,6374,0.092184427,2340,189,0.080769231,1448,164,0.113259669,0.016563555,0.021075242,0.005434878,0.027692232,0.00461045,0.037540034,0.001439099
1333015,903096,"Not including yourself, how many other people live at home with you?",PMI: Skip,264664,14249,0.053838074,99713,11954,0.119884067,5389,361,0.06698831,2220,312,0.140540541,0.013150236,0.020656473,0.006420298,0.019880174,0.006059338,0.03525361,2.74E-05
903630,903096,How much time did you usually spend walking on one of those days (minutes per day)?,PMI: Skip,95682,21556,0.225287933,59053,19353,0.327722554,1824,468,0.256578947,1183,412,0.348267117,0.031291014,0.020544563,0.011073925,0.051508103,-0.006866681,0.047955807,0.001703332
1332847,1333233,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with friends or coworkers,303115,19100,0.063012388,99713,13411,0.134496004,6350,469,0.073858268,2220,344,0.154954955,0.01084588,0.020458951,0.004355189,0.017336571,0.005258022,0.03565988,0.000485943
1333296,45884456,"In the past 7 days, I tried not to think about COVID-19.",Quite a bit,117622,11484,0.097634796,69144,9782,0.141472868,2340,279,0.119230769,1448,233,0.160911602,0.021595973,0.019438734,0.008356834,0.034835112,0.000335186,0.038542282,0.00057472
1332739,45879460,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",Neutral,117622,28760,0.244512081,69144,22212,0.321242624,2340,623,0.266239316,1448,493,0.340469613,0.021727235,0.019226989,0.003651314,0.039803156,-0.005427263,0.043881241,0.0165871
1332769,1332778,Who do you know who has died? Check all that apply.,Neighbor,56745,4779,0.084218874,29890,3554,0.118902643,1581,138,0.087286528,805,111,0.137888199,0.003067654,0.018985556,-0.011031805,0.017167113,-0.005112907,0.043084019,0.69865532
1333121,45882010,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",Nearly every day,117622,5551,0.047193552,69144,4540,0.065660072,2340,141,0.06025641,1448,122,0.084254144,0.013062858,0.018594072,0.003345456,0.02278026,0.004168502,0.033019642,0.003802973
1332752,1333307,How often did you use prescription sedatives or prescription sleeping pills?,1-5 times per week,9192,1799,0.195713664,6487,1458,0.224757207,199,39,0.195979899,140,34,0.242857143,0.000266235,0.018099936,-0.055478898,0.056011368,-0.053653786,0.089853658,1
1332767,45883381,"In the past month: Did someone in your home smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?",Some days,117622,2978,0.025318393,69144,2519,0.036431216,2340,89,0.038034188,1448,77,0.053176796,0.012715795,0.01674558,0.004913877,0.020517713,0.005104133,0.028387027,0.000148983
1310067,45878142,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people. What was the purpose of the large gathering?",Other,5572,1152,0.206748026,4106,1076,0.262055528,183,39,0.213114754,133,37,0.278195489,0.006366728,0.01613996,-0.053910043,0.066643499,-0.061195279,0.093475201,0.907280694
1333104,1333144,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Eating more food than usual,918790,47764,0.051985764,99713,29894,0.299800427,17874,1088,0.060870538,2220,701,0.315765766,0.008884774,0.015965339,0.005350378,0.01241917,-0.00357822,0.035508898,1.33E-07
1333104,1333149,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Eating less food than usual,918790,13402,0.014586576,99713,9836,0.098643106,17874,326,0.018238783,2220,254,0.114414414,0.003652207,0.015771309,0.001675224,0.00562919,0.002401391,0.029141225,6.53E-05
1333291,1333138,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked more hours than usual,362991,35580,0.098018959,99713,19682,0.197386499,7673,815,0.106216604,2220,473,0.213063063,0.008197645,0.015676564,0.001236014,0.015159276,-0.001534841,0.032887969,0.01785303
1333294,1333141,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Did not have enough money to pay for medications,281888,6651,0.023594477,99713,4563,0.045761335,5966,196,0.032852833,2220,136,0.061261261,0.009258355,0.015499926,0.004700652,0.01381606,0.005440407,0.025559445,4.20E-06
1333295,45879397,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",Extremely,117622,1857,0.015787863,69144,1660,0.024007868,2340,61,0.026068376,1448,57,0.039364641,0.010280513,0.015356773,0.00378536,0.016775666,0.005275953,0.025437593,0.000121684
1333018,45878245,Did you use prescription opioids in any way a doctor did not direct you to use it?,No,4060,3670,0.903940887,2983,2745,0.920214549,120,112,0.933333333,93,87,0.935483871,0.029392447,0.015269322,-0.016149023,0.074933915,-0.035598382,0.066137026,0.355833361
1333023,903096,Think of other people who live with you. How many are under the age of 18 years?,PMI: Skip,201321,12770,0.063431038,80555,10841,0.134578859,4139,319,0.077071756,1789,266,0.148686417,0.013640718,0.014107558,0.005446097,0.021835339,-0.00254634,0.030761456,0.000423899
1310056,45883772,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun."" How often did you wear a face mask or face covering?",All of the time,36783,21027,0.571649947,27380,16860,0.61577794,763,446,0.584534731,602,379,0.629568106,0.012884784,0.013790166,-0.022445992,0.04821556,-0.025214433,0.052794765,0.499681747
