question_concept_id,responce_concpet_id,Question,Response removed due to invalid value,q_cnt,a_cnt,ev_prop,q_pt,a_pt,pt_prop,ev_lower_confidence_interval,ev_upper_confidence_interval,pt_lower_confidence_interval,pt_upper_confidence_interval
1332763,1333304,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, suspected COVID-19",5630,673,0.119538188,2220,523,0.235585586,0.111063914,0.128012462,0.217932916,0.253238256
1332763,903096,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.",PMI: Skip,5630,31,0.005506217,2220,31,0.013963964,0.003573263,0.007439171,0.009082812,0.018845116
1333325,45878245,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",No,5389,4437,0.823343849,2220,1990,0.896396396,0.813161476,0.833526222,0.883719612,0.90907318
1333119,1333003,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",A lot less than normal,5389,3675,0.681944702,2220,1789,0.805855856,0.669510443,0.694378961,0.789402199,0.822309513
1333300,45883772,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",All of the time,5389,3389,0.628873631,2220,1695,0.763513514,0.615975208,0.641772054,0.745837549,0.781189479
1333156,45878245,Do you think you have had COVID-19?,No,5389,2884,0.535164223,2220,1454,0.654954955,0.521847808,0.548480638,0.635180013,0.674729897
1333301,1333148,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",None of the days (0 days),5389,2482,0.460567823,2220,1419,0.639189189,0.447259932,0.473875714,0.619212381,0.659165997
1333156,45877994,Do you think you have had COVID-19?,Yes,5389,2051,0.380590091,2220,1274,0.573873874,0.367626903,0.393553279,0.553303181,0.594444567
1332748,1333306,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",Most days (3-4 days),5389,1955,0.362776025,2220,1160,0.522522523,0.349939149,0.375612901,0.501744675,0.543300371
1333102,45876949,"In the past month, have recommendations for socially distancing caused stress for you?",A little,5389,1871,0.347188718,2220,1136,0.511711712,0.334477984,0.359899452,0.490918459,0.532504965
1332748,1332864,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",A few days (1-2 days),5389,1575,0.292262015,2220,1046,0.471171171,0.280119282,0.304404748,0.450406812,0.49193553
1333300,1333232,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",Most of the time; I try my best,5389,1711,0.317498608,2220,970,0.436936937,0.305070166,0.32992705,0.416304073,0.457569801
1333102,45883172,"In the past month, have recommendations for socially distancing caused stress for you?",Not at all,5389,1604,0.297643348,2220,921,0.414864865,0.285436011,0.309850685,0.394369624,0.435360106
1333102,45876385,"In the past month, have recommendations for socially distancing caused stress for you?",Somewhat,5389,1345,0.249582483,2220,891,0.401351351,0.238027946,0.26113702,0.380961222,0.42174148
1333325,45877994,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",Yes,5389,916,0.169975877,2220,788,0.354954955,0.159947446,0.180004308,0.335050364,0.374859546
1333301,45881677,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Every day,5389,1346,0.249768046,2220,727,0.327477477,0.238210644,0.261325448,0.307955862,0.346999092
1332748,45881677,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",Every day,5389,910,0.168862498,2220,675,0.304054054,0.158860263,0.178864733,0.284918777,0.323189331
1333301,1332864,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",A few days (1-2 days),5389,963,0.178697346,2220,662,0.298198198,0.168469018,0.188925674,0.279168524,0.317227872
1332748,1333148,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",None of the days (0 days),5389,909,0.168676934,2220,603,0.271621622,0.158679081,0.178674787,0.253119042,0.290124202
1333119,1333239,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",Somewhat less than normal,5389,839,0.155687512,2220,596,0.268468468,0.146007576,0.165367448,0.250033823,0.286903113
1333119,1333008,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",About the same as normal,5389,573,0.106327705,2220,405,0.182432432,0.098097581,0.114557829,0.166367294,0.19849757
1333102,45883539,"In the past month, have recommendations for socially distancing caused stress for you?",A lot,5389,506,0.093894971,2220,386,0.173873874,0.086107357,0.101682585,0.158108221,0.189639527
1333301,1333306,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Most days (3-4 days),5389,406,0.075338653,2220,326,0.146846847,0.068291815,0.082385491,0.132123131,0.161570563
1333156,45883144,Do you think you have had COVID-19?,Maybe,5389,432,0.080163296,2220,319,0.143693694,0.07291331,0.087413282,0.129102023,0.158285365
1333015,903096,"Not including yourself, how many other people live at home with you?",PMI: Skip,5389,361,0.06698831,2220,312,0.140540541,0.060313528,0.073663092,0.12608331,0.154997772
1333300,45882528,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",Sometimes,5389,200,0.037112637,2220,135,0.060810811,0.032065528,0.042159746,0.050869617,0.070752005
1333301,45876636,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Don't know,5389,145,0.026906662,2220,125,0.056306306,0.022586489,0.031226835,0.046717475,0.065895137
1333119,1332775,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",A lot more than normal,5389,131,0.024308777,2220,125,0.056306306,0.020196979,0.028420575,0.046717475,0.065895137
1333119,1333025,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",More than normal,5389,136,0.025236593,2220,121,0.054504505,0.021049053,0.029424133,0.045061341,0.063947669
1333102,903096,"In the past month, have recommendations for socially distancing caused stress for you?",PMI: Skip,5389,63,0.011690481,2220,62,0.027927928,0.008820648,0.014560314,0.02107399,0.034781866
1333301,903096,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",PMI: Skip,5389,47,0.00872147,2220,46,0.020720721,0.006238985,0.011203955,0.014795189,0.026646253
1333300,45876672,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",Rarely,5389,56,0.010391538,2220,40,0.018018018,0.007684056,0.01309902,0.012484812,0.023551224
1332748,903096,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",PMI: Skip,5389,40,0.007422527,2220,39,0.017567568,0.005130857,0.009714197,0.012102711,0.023032425
1333325,903096,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",PMI: Skip,5389,36,0.006680275,2220,36,0.016216216,0.004505393,0.008855157,0.010962142,0.02147029
1333119,903096,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",PMI: Skip,5389,35,0.006494711,2220,34,0.015315315,0.004350048,0.008639374,0.010206935,0.020423695
1333300,903096,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",PMI: Skip,5389,33,0.006123585,2220,33,0.014864865,0.004040711,0.008206459,0.009831018,0.019898712
1333156,903096,Do you think you have had COVID-19?,PMI: Skip,5389,22,0.00408239,2220,22,0.00990991,0.002379985,0.005784795,0.005789468,0.014030352
1332762,1333148,"Thinking about your current social habits, in the last 5 days: I have visited nursing homes or long-term care facilities (outside of work duties).",None of the days (0 days),4939,4813,0.974488763,2133,2095,0.982184716,0.970091497,0.978886029,0.976571062,0.98779837
1332734,1333148,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",None of the days (0 days),4939,4181,0.846527637,2133,1939,0.909048289,0.836475365,0.856579909,0.896845711,0.921250867
1332738,1333148,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",None of the days (0 days),4939,3483,0.705203482,2133,1723,0.807782466,0.692487586,0.717919378,0.791060152,0.82450478
1332735,1333148,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",None of the days (0 days),4939,3069,0.621380846,2133,1647,0.772151899,0.607853618,0.634908074,0.754351623,0.789952175
1333105,1333148,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",None of the days (0 days),4939,2631,0.532698927,2133,1324,0.620721988,0.518784418,0.546613436,0.600130863,0.641313113
1332735,1332864,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",A few days (1-2 days),4939,1592,0.322332456,2133,1003,0.470229723,0.309298119,0.335366793,0.449048477,0.491410969
1332738,1332864,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",A few days (1-2 days),4939,1258,0.254707431,2133,837,0.392405063,0.24255641,0.266858452,0.371683284,0.413126842
1333105,1332864,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",A few days (1-2 days),4939,745,0.150840251,2133,521,0.244256915,0.140859071,0.160821431,0.226023703,0.262490127
1333105,1333306,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Most days (3-4 days),4939,778,0.157521766,2133,512,0.240037506,0.147362129,0.167681403,0.221912077,0.258162935
1332734,1332864,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",A few days (1-2 days),4939,618,0.125126544,2133,470,0.220346929,0.115899217,0.134353871,0.202757292,0.237936566
1333105,45881677,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Every day,4939,692,0.140109334,2133,443,0.207688701,0.130429147,0.149789521,0.190473701,0.224903701
1332735,1333306,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",Most days (3-4 days),4939,171,0.034622393,2133,147,0.068917018,0.029523737,0.039721049,0.058166978,0.079667058
1332738,1333306,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",Most days (3-4 days),4939,122,0.024701357,2133,104,0.048757618,0.020372654,0.02903006,0.03961818,0.057897056
1333105,903096,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",PMI: Skip,4939,93,0.018829723,2133,85,0.039849977,0.015038994,0.022620452,0.031548865,0.048151089
1332734,1333306,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",Most days (3-4 days),4939,62,0.012553148,2133,55,0.025785279,0.009448147,0.015658149,0.019059139,0.032511419
1332734,903096,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",PMI: Skip,4939,54,0.010933387,2133,53,0.024847632,0.008033249,0.013833525,0.018241741,0.031453523
1332735,903096,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",PMI: Skip,4939,51,0.010325977,2133,50,0.023441163,0.007506684,0.01314527,0.017020329,0.029861997
1332762,1332864,"Thinking about your current social habits, in the last 5 days: I have visited nursing homes or long-term care facilities (outside of work duties).",A few days (1-2 days),4939,63,0.012755619,2133,49,0.022972339,0.009625998,0.01588524,0.016614512,0.029330166
1332735,45881677,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",Every day,4939,56,0.011338328,2133,45,0.021097046,0.008385576,0.01429108,0.014998402,0.02719569
1332738,903096,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",PMI: Skip,4939,43,0.008706216,2133,41,0.019221753,0.006115353,0.011297079,0.013394893,0.025048613
1332762,903096,"Thinking about your current social habits, in the last 5 days: I have visited nursing homes or long-term care facilities (outside of work duties).",PMI: Skip,4939,39,0.007896335,2133,34,0.015939991,0.00542791,0.01036476,0.010624939,0.021255043
1332738,45881677,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",Every day,4939,33,0.006681514,2133,25,0.011720581,0.004409504,0.008953524,0.007153201,0.016287961
1332734,45881677,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",Every day,4939,24,0.004859283,2133,23,0.010782935,0.00291993,0.006798636,0.006399981,0.015165889
1333297,45878245,Do you personally know someone who has died of COVID-19?,No,3865,2548,0.659249677,1931,1411,0.730709477,0.644307412,0.674191942,0.710924304,0.75049465
1333297,45877994,Do you personally know someone who has died of COVID-19?,Yes,3865,1304,0.337386805,1931,806,0.417400311,0.322480588,0.352293022,0.39540559,0.439395032
1333023,903096,Think of other people who live with you. How many are under the age of 18 years?,PMI: Skip,4139,319,0.077071756,1789,266,0.148686417,0.068946595,0.085196917,0.132200111,0.165172723
1310140,45878245,"Do you have a child(ren) that are currently enrolled in childcare centers, schools, or colleges?",No,3049,2294,0.752377829,1727,1300,0.752750434,0.737057004,0.767698654,0.732403677,0.773097191
1310133,36309715,"If you know it, what is your blood group?",Group O,3049,917,0.300754346,1727,541,0.313259988,0.284476751,0.317031941,0.291384862,0.335135114
1310133,1310090,"If you know it, what is your blood group?",I don't know my blood group for certain,3049,835,0.273860282,1727,527,0.305153445,0.258031627,0.289688937,0.283436161,0.326870729
1310140,45877994,"Do you have a child(ren) that are currently enrolled in childcare centers, schools, or colleges?",Yes,3049,734,0.240734667,1727,469,0.271569195,0.22555943,0.255909904,0.250592535,0.292545855
1310133,36308333,"If you know it, what is your blood group?",Group A,3049,827,0.271236471,1727,451,0.261146497,0.25545539,0.287017552,0.240429672,0.281863322
1310133,36309587,"If you know it, what is your blood group?",Group B,3049,312,0.102328632,1727,180,0.104226983,0.091570753,0.113086511,0.089816087,0.118637879
1310133,36311267,"If you know it, what is your blood group?",Group AB,3049,105,0.03443752,1727,74,0.042848871,0.027964969,0.040910071,0.033297584,0.052400158
1310133,903096,"If you know it, what is your blood group?",PMI: Skip,3049,38,0.012463103,1727,36,0.020845397,0.008525253,0.016400953,0.014107372,0.027583422
1310140,903096,"Do you have a child(ren) that are currently enrolled in childcare centers, schools, or colleges?",PMI: Skip,3049,21,0.006887504,1727,20,0.011580776,0.003951886,0.009823122,0.006534845,0.016626707
1310132,45880190,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Very likely,2648,1368,0.516616314,1598,920,0.57571965,0.497582792,0.535649836,0.551487514,0.599951786
1310132,1310086,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",I do not know yet,2648,573,0.216389728,1598,455,0.284730914,0.200705704,0.232073752,0.262604464,0.306857364
1310132,45879592,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Likely,2648,334,0.126132931,1598,293,0.183354193,0.113487721,0.138778141,0.164381805,0.202326581
1310132,45877240,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Very unlikely,2648,210,0.079305136,1598,166,0.10387985,0.069013187,0.089597085,0.088920646,0.118839054
1310132,45877241,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Unlikely,2648,154,0.0581571,1598,134,0.083854819,0.049242955,0.067071245,0.070265244,0.097444394
1310134,1333148,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people.",None of the days (0 days),2599,2419,0.930742593,1577,1492,0.94610019,0.920981626,0.94050356,0.934954822,0.957245558
1310134,1332864,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people.",A few days (1-2 days),2599,135,0.051943055,1577,118,0.074825618,0.043411545,0.060474565,0.061839803,0.087811433
1310134,903096,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people.",PMI: Skip,2599,27,0.010388611,1577,27,0.017121116,0.006490484,0.014286738,0.010718635,0.023523597
1333017,45878582,"In the past month, have you used any of the following drugs? Select all that apply.",None,2468,1715,0.694894652,1448,1129,0.779696133,0.676728627,0.713060677,0.758349098,0.801043168
1333017,1333159,"In the past month, have you used any of the following drugs? Select all that apply.","Prescription sedatives or prescription sleeping pills (for example, Valium, Ambien, Serepax, Ativan, Xanax, Libriu, etc)",2468,199,0.080632091,1448,140,0.096685083,0.069890363,0.091373819,0.081463384,0.111906782
1333017,1333152,"In the past month, have you used any of the following drugs? Select all that apply.","Cannabis (also called marijuana, pot, weed, grass, hash, concentrates, etc) Please exclude your use of CBD or hemp products",2468,183,0.074149109,1448,132,0.091160221,0.063812002,0.084486216,0.076334693,0.105985749
1333017,903096,"In the past month, have you used any of the following drugs? Select all that apply.",PMI: Skip,2468,130,0.05267423,1448,119,0.08218232,0.043861219,0.061487241,0.068036399,0.096328241
1333017,1333169,"In the past month, have you used any of the following drugs? Select all that apply.","Prescription opioids (for example, fentanyl, oxycodone [OxyContin, Percocet], hydrocodone [Vicodin], methadone, buprenorphine, etc)",2468,120,0.048622366,1448,93,0.064226519,0.040137011,0.057107721,0.051599339,0.076853699
1333017,1333155,"In the past month, have you used any of the following drugs? Select all that apply.","Prescription stimulants (for example, Ritalin, Concerta, Dexedrine, Adderall, Focalin, Didrex, etc)",2468,72,0.02917342,1448,49,0.033839779,0.022533849,0.035812991,0.02452651,0.043153048
1333299,45880857,"In the past month: Did you use any type of electronic nicotine product? This includes e- cigarettes, vape pens, hookah pens, personal vaporizers and mods, e-cigars, e-pipes, and e-hookahs.","No, never",2340,2208,0.943589744,1448,1375,0.949585635,0.934241914,0.952937574,0.938316047,0.960855223
1332744,45878245,Are you currently on chemotherapy or immunotherapy?,No,2340,2190,0.935897436,1448,1370,0.946132597,0.925973316,0.945821556,0.934504656,0.957760538
1333293,45876662,"In your day-to-day life, how often did this happen to you during the past month? You are threatened or harassed.",Never,2340,2150,0.918803419,1448,1352,0.933701657,0.907736663,0.929870175,0.920886639,0.946516675
