observation_concept_id,value_as_concept_id.x,value_as_concept_id.y,Response_count,concept_name.x,concept_name.y,concept_name
1332847,1333240,1333170,3072,"In the past month, have the following behaviors increased in your household? Select all that apply.",Snapping at or yelling at family members,"None of the above (if selected, no other response options are available"
1333292,45884554,45881667,3055,"In the past 7 days, I felt watchful or on-guard.",Moderately,A little bit
1332763,1332743,1333304,3005,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.",Not that I know of,"Yes, suspected COVID-19"
1333120,45876672,45876662,2901,Choose the answer that is true for you in the past month. I am unhappy being so withdrawn.,Rarely,Never
1333328,1332783,45876662,2897,"In your day-to-day life, how often did this happen to you during the past month? You are treated with less courtesy than other people are.",A few times a month,Never
1332739,45879460,1333028,2861,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",Neutral,Describes me
1332848,1332784,1333028,2848,Please select the response that best reflects your behavior in the past month. I believe I can grow in positive ways by dealing with difficult situations.,Describes me very well,Describes me
1333024,45879460,1333028,2778,Please select the response that best reflects your behavior in the past month. I look for creative ways to alter difficult situations.,Neutral,Describes me
1333328,45876662,1332783,2774,"In your day-to-day life, how often did this happen to you during the past month? You are treated with less courtesy than other people are.",Never,A few times a month
1333311,45876662,1332783,2770,"In your day-to-day life, how often did this happen to you during the past month? You are treated with less respect than other people are.",Never,A few times a month
1332848,1333028,1332784,2760,Please select the response that best reflects your behavior in the past month. I believe I can grow in positive ways by dealing with difficult situations.,Describes me,Describes me very well
1333295,45883172,45881667,2752,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",Not at all,A little bit
1333311,1332783,45876662,2745,"In your day-to-day life, how often did this happen to you during the past month? You are treated with less respect than other people are.",A few times a month,Never
1333296,45884554,45881667,2735,"In the past 7 days, I tried not to think about COVID-19.",Moderately,A little bit
1333296,45881667,45883172,2705,"In the past 7 days, I tried not to think about COVID-19.",A little bit,Not at all
1332750,45882006,45885256,2702,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,A moderate amount,Very much
1332750,45885256,45882006,2669,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,Very much,A moderate amount
1333289,45878245,45877994,2639,"Think about the time you spent walking in the last 7 days. During the last 7 days, did you walk for at least 10 minutes at a time?",No,Yes
1333156,45878245,45877994,2633,Do you think you have had COVID-19?,No,Yes
1333289,45877994,45878245,2627,"Think about the time you spent walking in the last 7 days. During the last 7 days, did you walk for at least 10 minutes at a time?",Yes,No
1332734,1332864,1333148,2626,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",A few days (1-2 days),None of the days (0 days)
1332739,1333028,45879460,2599,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",Describes me,Neutral
1333024,1333028,45879460,2598,Please select the response that best reflects your behavior in the past month. I look for creative ways to alter difficult situations.,Describes me,Neutral
1332748,1332864,1333148,2590,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",A few days (1-2 days),None of the days (0 days)
1333105,1332864,1333148,2574,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",A few days (1-2 days),None of the days (0 days)
1332848,45879460,1333028,2560,Please select the response that best reflects your behavior in the past month. I believe I can grow in positive ways by dealing with difficult situations.,Neutral,Describes me
1333292,45884456,45884554,2539,"In the past 7 days, I felt watchful or on-guard.",Quite a bit,Moderately
1333119,1333008,1333003,2491,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",About the same as normal,A lot less than normal
1332748,1333148,1332864,2479,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",None of the days (0 days),A few days (1-2 days)
1333102,45876385,45883172,2462,"In the past month, have recommendations for socially distancing caused stress for you?",Somewhat,Not at all
1332835,45879540,45883275,2441,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Agree a little,Agree a lot
1333156,45878245,45883144,2426,Do you think you have had COVID-19?,No,Maybe
1333120,45876662,45876672,2409,Choose the answer that is true for you in the past month. I am unhappy being so withdrawn.,Never,Rarely
1333296,45883172,45881667,2394,"In the past 7 days, I tried not to think about COVID-19.",Not at all,A little bit
1332739,1333028,1332784,2381,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",Describes me,Describes me very well
1332848,1333028,45879460,2371,Please select the response that best reflects your behavior in the past month. I believe I can grow in positive ways by dealing with difficult situations.,Describes me,Neutral
1333024,1333028,1332784,2371,Please select the response that best reflects your behavior in the past month. I look for creative ways to alter difficult situations.,Describes me,Describes me very well
1332866,45884456,45884554,2360,"In the past 7 days, other things kept making me think about COVID-19.",Quite a bit,Moderately
1333303,45884456,45884554,2351,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",Quite a bit,Moderately
1332749,1333079,1333116,2323,"Choose the answer that best describes how you felt in the past month. In general, how happy are you?",Moderately unhappy,Moderately happy
1332748,1333306,1333148,2308,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",Most days (3-4 days),None of the days (0 days)
1333024,1332784,1333028,2287,Please select the response that best reflects your behavior in the past month. I look for creative ways to alter difficult situations.,Describes me very well,Describes me
1332739,1332784,1333028,2278,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",Describes me very well,Describes me
1332866,45881667,45883172,2253,"In the past 7 days, other things kept making me think about COVID-19.",A little bit,Not at all
1332748,45881677,1332864,2245,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",Every day,A few days (1-2 days)
1333303,45881667,45883172,2217,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",A little bit,Not at all
1333325,45877994,45878245,2210,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",Yes,No
1332763,1333304,1332743,2209,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, suspected COVID-19",Not that I know of
1333221,45884455,45882528,2177,Choose the answer that is true for you in the past month. I am an outgoing person.,Often,Sometimes
1333296,45881667,45884554,2165,"In the past 7 days, I tried not to think about COVID-19.",A little bit,Moderately
1333292,45881667,45884554,2163,"In the past 7 days, I felt watchful or on-guard.",A little bit,Moderately
1333221,45882528,45884455,2162,Choose the answer that is true for you in the past month. I am an outgoing person.,Sometimes,Often
1333325,45878245,45877994,2156,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",No,Yes
1332835,45880775,45879540,2137,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Neither agree nor disagree,Agree a little
1332749,37079442,1333116,2120,"Choose the answer that best describes how you felt in the past month. In general, how happy are you?",Very happy,Moderately happy
1333105,1333148,1333306,2071,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",None of the days (0 days),Most days (3-4 days)
1333301,45881677,1332864,2026,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Every day,A few days (1-2 days)
1332866,45881667,45884554,2009,"In the past 7 days, other things kept making me think about COVID-19.",A little bit,Moderately
1332847,1333240,1333126,1999,"In the past month, have the following behaviors increased in your household? Select all that apply.",Snapping at or yelling at family members,Interpersonal conflict with family members or loved ones
1333011,45880857,1333137,1984,"In the past month: Did you smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?","No, never","Not currently, but in the past"
1333120,45882528,45876672,1907,Choose the answer that is true for you in the past month. I am unhappy being so withdrawn.,Sometimes,Rarely
1332767,45880857,1333137,1901,"In the past month: Did someone in your home smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?","No, never","Not currently, but in the past"
1333295,45884554,45881667,1886,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",Moderately,A little bit
1332847,1333126,1333240,1875,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with family members or loved ones,Snapping at or yelling at family members
1332866,45884456,45881667,1844,"In the past 7 days, other things kept making me think about COVID-19.",Quite a bit,A little bit
1332847,903096,1333126,1835,"In the past month, have the following behaviors increased in your household? Select all that apply.",PMI: Skip,Interpersonal conflict with family members or loved ones
1333221,45876672,45882528,1824,Choose the answer that is true for you in the past month. I am an outgoing person.,Rarely,Sometimes
1332835,45883275,45879540,1823,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Agree a lot,Agree a little
1333303,45881667,45884554,1815,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",A little bit,Moderately
1332741,1333028,1332784,1795,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,Describes me,Describes me very well
1333011,1333137,45880857,1784,"In the past month: Did you smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?","Not currently, but in the past","No, never"
1332767,1333137,45880857,1783,"In the past month: Did someone in your home smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?","Not currently, but in the past","No, never"
1333102,45883539,45876385,1775,"In the past month, have recommendations for socially distancing caused stress for you?",A lot,Somewhat
1333119,1333003,1333008,1756,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",A lot less than normal,About the same as normal
1333120,45876672,45882528,1756,Choose the answer that is true for you in the past month. I am unhappy being so withdrawn.,Rarely,Sometimes
1333017,903096,45878582,1738,"In the past month, have you used any of the following drugs? Select all that apply.",PMI: Skip,None
1332741,1332784,1333028,1735,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,Describes me very well,Describes me
1333292,45884554,45884456,1728,"In the past 7 days, I felt watchful or on-guard.",Moderately,Quite a bit
1333291,1333242,1333170,1699,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked remotely or from home more than you used to before COVID-19,"None of the above (if selected, no other response options are available"
1333292,45881667,45883172,1694,"In the past 7 days, I felt watchful or on-guard.",A little bit,Not at all
1332847,903096,1333240,1644,"In the past month, have the following behaviors increased in your household? Select all that apply.",PMI: Skip,Snapping at or yelling at family members
1333221,45882528,45876672,1644,Choose the answer that is true for you in the past month. I am an outgoing person.,Sometimes,Rarely
1333303,45883172,45881667,1644,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",Not at all,A little bit
1332763,1333320,1332743,1643,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, known COVID-19",Not that I know of
1333104,1333133,1333340,1631,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Taking breaks from watching, reading, or listening to news stories, including social media","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs"
1333104,1333340,1333133,1629,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs","Taking breaks from watching, reading, or listening to news stories, including social media"
1333303,45884456,45881667,1597,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",Quite a bit,A little bit
1332749,1333116,1333079,1578,"Choose the answer that best describes how you felt in the past month. In general, how happy are you?",Moderately happy,Moderately unhappy
1332750,45885256,1332850,1563,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,Very much,An extreme amount
1333291,1333170,903096,1562,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.","None of the above (if selected, no other response options are available",PMI: Skip
1333291,1333138,1333242,1557,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked more hours than usual,Worked remotely or from home more than you used to before COVID-19
1332835,45879540,45880775,1547,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Agree a little,Neither agree nor disagree
1333102,45876385,45883539,1535,"In the past month, have recommendations for socially distancing caused stress for you?",Somewhat,A lot
1332748,1333148,1333306,1528,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",None of the days (0 days),Most days (3-4 days)
1333291,1333242,1333138,1521,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked remotely or from home more than you used to before COVID-19,Worked more hours than usual
1310132,1310086,45879592,1509,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",I do not know yet,Likely
1333105,1332864,1333306,1506,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",A few days (1-2 days),Most days (3-4 days)
1332763,1333304,1333320,1505,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, suspected COVID-19","Yes, known COVID-19"
1310142,702690,45877994,1492,Do you plan to get the flu vaccine this season?,"No, I received it more than a month ago",Yes
1332866,45883172,45881667,1481,"In the past 7 days, other things kept making me think about COVID-19.",Not at all,A little bit
1332750,1332850,45885256,1455,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,An extreme amount,Very much
1332750,45882006,45876949,1448,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,A moderate amount,A little
1333292,45884456,45881667,1446,"In the past 7 days, I felt watchful or on-guard.",Quite a bit,A little bit
1333295,45881667,45884554,1419,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",A little bit,Moderately
1310142,45877994,702690,1416,Do you plan to get the flu vaccine this season?,Yes,"No, I received it more than a month ago"
1332750,45876949,45882006,1415,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,A little,A moderate amount
1333119,1333008,1333239,1365,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",About the same as normal,Somewhat less than normal
1333102,45883172,45876385,1363,"In the past month, have recommendations for socially distancing caused stress for you?",Not at all,Somewhat
1333297,45877994,45878245,1359,Do you personally know someone who has died of COVID-19?,Yes,No
1332866,45884554,45884456,1357,"In the past 7 days, other things kept making me think about COVID-19.",Moderately,Quite a bit
1333104,1333340,1332789,1342,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs",Making time to relax
1333121,45878994,45879886,1325,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",More than half the days,Several days
1332847,1333170,1333126,1308,"In the past month, have the following behaviors increased in your household? Select all that apply.","None of the above (if selected, no other response options are available",Interpersonal conflict with family members or loved ones
1333105,1333306,45881677,1305,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Most days (3-4 days),Every day
1333303,45884554,45884456,1300,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",Moderately,Quite a bit
1332741,1332777,45879460,1287,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,Does not describe me,Neutral
1333292,45883172,45881667,1272,"In the past 7 days, I felt watchful or on-guard.",Not at all,A little bit
1333296,45884554,45883172,1270,"In the past 7 days, I tried not to think about COVID-19.",Moderately,Not at all
1333298,1332783,45876662,1250,"In your day-to-day life, how often did this happen to you during the past month? You are called names or insulted.",A few times a month,Never
1333104,1332789,1333340,1220,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Making time to relax,"Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs"
1332847,1333170,1333240,1205,"In the past month, have the following behaviors increased in your household? Select all that apply.","None of the above (if selected, no other response options are available",Snapping at or yelling at family members
1333105,1333148,45881677,1190,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",None of the days (0 days),Every day
1332741,45879460,1332777,1184,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,Neutral,Does not describe me
1332835,45880775,45883275,1173,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Neither agree nor disagree,Agree a lot
1333120,45882528,45876662,1170,Choose the answer that is true for you in the past month. I am unhappy being so withdrawn.,Sometimes,Never
1333119,1333003,1332775,1161,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",A lot less than normal,A lot more than normal
1333301,1332864,45881677,1148,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",A few days (1-2 days),Every day
1332847,1333233,1333170,1147,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with friends or coworkers,"None of the above (if selected, no other response options are available"
1333121,45879886,45878994,1117,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",Several days,More than half the days
1332769,45878142,1332766,1116,Who do you know who has died? Check all that apply.,Other,Friend
1333104,1333340,1333226,1112,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs","Taking care of your body, such as taking deep breaths, stretching, or meditating"
1333105,45881677,1333306,1110,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Every day,Most days (3-4 days)
1333104,1333133,1332789,1103,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Taking breaks from watching, reading, or listening to news stories, including social media",Making time to relax
1333104,1333226,1333340,1102,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Taking care of your body, such as taking deep breaths, stretching, or meditating","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs"
1310052,903096,45883772,1099,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home. How often did you wear a face mask or face covering?",PMI: Skip,All of the time
1333300,45882528,1333232,1099,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",Sometimes,Most of the time; I try my best
1332835,45876909,45880775,1090,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Disagree a little,Neither agree nor disagree
1333296,45884456,45884554,1087,"In the past 7 days, I tried not to think about COVID-19.",Quite a bit,Moderately
1333301,1333306,1333148,1082,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Most days (3-4 days),None of the days (0 days)
1333119,1333239,1333008,1065,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",Somewhat less than normal,About the same as normal
1332835,45876909,45879540,1054,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Disagree a little,Agree a little
1333292,45879397,45884456,1027,"In the past 7 days, I felt watchful or on-guard.",Extremely,Quite a bit
1333104,1332789,1333133,1015,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Making time to relax,"Taking breaks from watching, reading, or listening to news stories, including social media"
1333298,45876662,1332783,1009,"In your day-to-day life, how often did this happen to you during the past month? You are called names or insulted.",Never,A few times a month
1333301,45881677,1333306,998,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Every day,Most days (3-4 days)
1333104,1333340,1333130,990,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs","Connecting with others, including talking with people you trust about your concerns and how you are feeling"
1333017,45878582,903096,977,"In the past month, have you used any of the following drugs? Select all that apply.",None,PMI: Skip
1310134,1332864,1333148,975,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people.",A few days (1-2 days),None of the days (0 days)
1333291,1332771,1333242,970,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked reduced hours,Worked remotely or from home more than you used to before COVID-19
1333295,45884554,45883172,969,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",Moderately,Not at all
1333102,45883539,45876949,965,"In the past month, have recommendations for socially distancing caused stress for you?",A lot,A little
1333105,1333306,1332864,965,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Most days (3-4 days),A few days (1-2 days)
1333301,1333148,1333306,964,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",None of the days (0 days),Most days (3-4 days)
1333156,45883144,45877994,949,Do you think you have had COVID-19?,Maybe,Yes
1333300,1333232,45882528,949,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",Most of the time; I try my best,Sometimes
1333104,1333130,1333340,948,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Connecting with others, including talking with people you trust about your concerns and how you are feeling","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs"
1332835,45880775,45876909,926,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Neither agree nor disagree,Disagree a little
1333301,1333306,45881677,920,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Most days (3-4 days),Every day
1333296,45883172,45884554,915,"In the past 7 days, I tried not to think about COVID-19.",Not at all,Moderately
1333105,1333148,903096,908,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",None of the days (0 days),PMI: Skip
1332739,1332777,45879460,893,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",Does not describe me,Neutral
1333104,1333142,1333340,889,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Increasing watching, reading, or listening to news stories, including social media","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs"
